,PumpGroup,NameGroup,Source,CIVM_ID,Treatment,BadeaID,Genotype,Sex,DOB,Weight,Perfusion ,Age_Months,Age_Imaging,Age_Years,Age_Label,Specimens ID,DWI,GRE,T1,T2,Notes,AgeExVivoMRI,Diet,norm_id,Unnamed: 0,id,file,label
0,,original_2019_scans,In House,190610_1:1,Control,190610_1,APOE44,male,4/2/14,30.7,8/8/15,16.2,16.0,1.35,,190610_1:1,N57437,N57439,,,,16.2,Control,19061001,1.0,19061001,True,True
1,2,original_2019_scans,In House,190610_6:1,Control,190610_6,APOE44,female,4/2/14,25.6,8/8/15,16.2,16.0,1.35,,190610_6:1,N57441,N57442,140.0,28.0,,16.2,Control,19061006,6.0,19061006,True,True
2,3,original_2019_scans,In House,190610_2:1,Control,190610_2,APOE44,male,4/2/14,32.1,8/8/15,16.2,16.0,1.35,,190610_2:1,N57444,N57445,140.0,25.0,,16.2,Control,19061002,2.0,19061002,True,True
3,4,original_2019_scans,In House,190610_7:1,Control,190610_7,APOE44,female,4/2/14,28.7,8/8/15,16.2,16.0,1.35,,190610_7:1,N57446,N57447,115.0,26.0,,16.2,Control,19061007,7.0,19061007,True,True
4,5,original_2019_scans,In House,190610_3:1,Control,190610_3,APOE44,male,4/2/14,31.6,8/8/15,16.2,16.0,1.35,,190610_3:1,N57448,N57449,115.0,26.0,,16.2,Control,19061003,3.0,19061003,True,True
5,6,original_2019_scans,In House,190610_8:1,Control,190610_8,APOE44,female,4/2/14,25.7,8/8/15,16.2,16.0,1.35,,190610_8:1,N57450,N57451,117.0,28.0,,16.2,Control,19061008,,,,
6,7,original_2019_scans,In House,190715_7:1,Control,190715_7,APOE22,female,5/25/14,27.5,9/12/15,15.57,16.0,1.3,,190715_7:1,N57452,N57453,102.0,22.0,,15.57,Control,19071507,14.0,19071507,True,True
7,8,original_2019_scans,In House,190715_6:1,Control,190715_6,APOE22,male,5/25/14,30.3,9/12/15,15.57,16.0,1.3,,190715_6:1,N57454,N57455,115.0,23.0,,15.57,Control,19071506,13.0,19071506,True,True
8,9,original_2019_scans,In House,190715_8:1,Control,190715_8,APOE22,female,5/25/14,28,9/12/15,15.57,16.0,1.3,,190715_8:1,N57456,N57457,108.0,22.0,,15.57,Control,19071508,15.0,19071508,True,True
9,10,original_2019_scans,In House,190715_9:1,Control,190715_9,APOE22,male,5/25/14,29.3,9/12/15,15.57,16.0,1.3,,190715_9:1,N57458,N57459,114.0,24.0,,15.57,Control,19071509,,,,
