,Unnamed: 0,filename,id,csvFile,assigned_person,clear_Number Of Voxels,clear_Volume (mm^3),clear_Image mean,clear_Image stdev,label_Number Of Voxels,label_Volume (mm^3),label_Image mean,label_Image stdev
0,0,Animal_191205_5_B50030_46_1_T1_RARE_MEMRI_apoe.nii.gz,Animal_191205_5_B50030_46_1_T1_RARE_MEMRI_apoe,Animal_191205_5_LabelStats.csv,Nikhil,3598222,3598.22,0.153501,0.125206,1778,1.778,0.461387,0.0431849
1,1,Animal_190715_3_B50017_2_1_T1_RARE_MEMRI_apoe_roomtemp.nii.gz,Animal_190715_3_B50017_2_1_T1_RARE_MEMRI_apoe_roomtemp,Animal_190715_3_LabelStats.csv,Nikhil,3597368,3597.37,0.249607,0.18056,2632,2.632,0.667357,0.0715509
2,2,Animal_190610_2_B49999_44_1_T1_RARE_MEMRI_apoe100um_roomtemp.nii.gz,Animal_190610_2_B49999_44_1_T1_RARE_MEMRI_apoe100um_roomtemp,Animal_190610_2_LabelStats.csv,Nikhil,3597875,3597.88,0.319457,0.217152,2125,2.125,0.756954,0.0869804
3,3,200805_5_10_1_T1_RARE_MEMRI_apoe100um_roomtemp.nii.gz,200805_5_10_1_T1_RARE_MEMRI_apoe100um_roomtemp,200805_5_10_LabelStats.csv,Nikhil,,,,,,,,
4,4,Animal_190610_6_B49999_86_1_T1_RARE_MEMRI_apoe_T1_RARE_MEMRI_apoe_roomtemp.nii.gz,Animal_190610_6_B49999_86_1_T1_RARE_MEMRI_apoe_T1_RARE_MEMRI_apoe_roomtemp,Animal_190610_6_LabelStats.csv,Nikhil,3598459,3598.46,0.237719,0.196202,1541,1.541,0.695008,0.120467
5,5,Animal_190909_12_B50013_42_1_T1_RARE_MEMRI_apoe100um_roomtemp.nii.gz,Animal_190909_12_B50013_42_1_T1_RARE_MEMRI_apoe100um_roomtemp,Animal_190909_12_LabelStats.csv,Nikhil,3598018,3598.02,0.225833,0.171627,1982,1.982,0.325087,0.0458166
6,6,Animal_201007_4_57_1_T1_RARE_MEMRI_22mins.nii.gz,Animal_201007_4_57_1_T1_RARE_MEMRI_22mins,Animal_201007_4_LabelStats.csv,Nikhil,3598011,3598.01,0.166593,0.164765,1989,1.989,0.50581,0.0635258
7,7,Animal_191028_6_B50022_40_1_T1_RARE_MEMRI_apoe100um_roomtemp.nii.gz,Animal_191028_6_B50022_40_1_T1_RARE_MEMRI_apoe100um_roomtemp,Animal_191028_6_LabelStats.csv,Nikhil,3598588,3598.59,0.208288,0.189472,1412,1.412,0.558862,0.0834085
8,8,Animal_191212_6_90_1_T1_RARE_MEMRI_22mins.nii.gz,Animal_191212_6_90_1_T1_RARE_MEMRI_22mins,Animal_191212_6_LabelStats.csv,Nikhil,3597417,3597.42,0.130075,0.121332,2583,2.583,0.405126,0.0502939
9,9,Animal_190610_7_B49999_88_1_T1_RARE_MEMRI_apoe_T1_RARE_MEMRI_apoe_roomtemp.nii.gz,Animal_190610_7_B49999_88_1_T1_RARE_MEMRI_apoe_T1_RARE_MEMRI_apoe_roomtemp,Animal_190610_7_LabelStats.csv,Nikhil,3599179,3599.18,0.314031,0.233236,821,0.821,0.759601,0.110452
10,10,Animal_191205_1_B50027_15_1_T1_RARE_MEMRI_exercise.nii.gz,Animal_191205_1_B50027_15_1_T1_RARE_MEMRI_exercise,Animal_191205_1_LabelStats.csv,Pradnesh,3839073,3839.07,0.200574,0.156174,927,0.927,0.533062,0.0597258
