,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,776,0.17009652309004486
1,A24aPrime_L,2.0,302,0.19288094479911375
2,A24b_L,3.0,704,0.19461513005874373
3,A24bPrime_L,4.0,153,0.22561895857059877
4,A29a_L,5.0,218,0.21422685896379684
5,A29b_L,6.0,102,0.24074144749080434
6,A29c_L,7.0,422,0.23578574969234625
7,A30_L,8.0,1348,0.24254760043889018
8,A32_L,9.0,1207,0.1945397095398263
9,Au1_L,10.0,643,0.21189254415721212
10,AuD_L,11.0,819,0.22495355377922127
11,AuV_L,12.0,644,0.19566538794579344
12,DLO_L,13.0,440,0.15344323302534493
13,Fr3_L,14.0,463,0.1747789713946326
14,FrA_L,15.0,3929,0.19671914213829805
15,Ins_L,16.0,4405,0.14179900529182324
16,LO_L,17.0,1486,0.16909053795350512
17,LPtA_L,18.0,69,0.260778374646021
18,M1_L,19.0,3454,0.2006763428499244
19,M2_L,20.0,3033,0.2081872382773313
20,MO_L,21.0,767,0.18388708828519812
21,MPtA_L,22.0,119,0.2686630360969976
22,PtPR_L,23.0,28,0.2621436246803829
23,S1_L,24.0,281,0.23587679592527952
24,S1BF_L,25.0,4152,0.20013759987202684
25,S1DZ_L,26.0,506,0.20813899958439966
26,S1FL_L,27.0,1517,0.20672982933592782
27,S1HL_L,28.0,1086,0.22582991579701886
28,S1J_L,29.0,1698,0.17444937238722022
29,S1Sh_L,30.0,30,0.2498518094420433
30,S1Tr_L,31.0,211,0.2541877873135969
31,S1ULp_L,32.0,2304,0.16460565427890592
32,S2_L,33.0,3153,0.15279094064936086
33,TeA_L,34.0,1393,0.2039845981190552
34,V1_L,35.0,259,0.2645976924873227
35,V1B_L,36.0,822,0.2553627175752554
36,V1M_L,37.0,1824,0.2436366292837958
37,V2L_L,38.0,1175,0.2354295106263871
38,V2ML_L,39.0,397,0.2935128331334525
39,V2MM_L,40.0,708,0.274095017441922
40,VO_L,41.0,719,0.17255135382083925
41,CEnt_L,42.0,2417,0.18178784804874135
42,DIEnt_L,43.0,544,0.17181938641485484
43,DLEnt_L,44.0,979,0.18155001057454587
44,MEnt_L,45.0,226,0.18126907071049234
45,VIEnt_L,46.0,446,0.17258991476465768
46,Cl_L,47.0,2,0.13100206851959229
47,DCl_L,48.0,0,
48,PLCo_L,49.0,707,0.152603969562804
49,VCl_L,50.0,10,0.15311906710267068
50,Hc_L,51.0,13082,0.18383665078961325
51,DTT_L,52.0,217,0.1458615137410054
52,Ect_L,53.0,866,0.1929056305378056
53,PaS_L,54.0,550,0.18196444468064743
54,PRh_L,55.0,605,0.1867932541742305
55,PrS_L,56.0,59,0.189690141228296
56,Pir_L,57.0,25687,0.17105233933794456
57,APir_L,58.0,91,0.17356613761448597
58,Hyp_L,59.0,5782,0.18498332869868425
59,Preopt_L,60.0,2892,0.16886201904465756
60,Sthal_L,61.0,299,0.1669687439989685
61,SPT_L,62.0,3321,0.16357561165915038
62,GP_L,63.0,1068,0.16713451453195083
63,CPu_L,64.0,10444,0.1482043307451499
64,Amy_L,65.0,5899,0.15491175723890013
65,Acb_L,66.0,1976,0.15633122633524268
66,BNst_L,67.0,293,0.1614367392791416
67,Vpal_L,68.0,940,0.1752264951613355
68,PAG_L,69.0,3479,0.19525643635233883
69,APT_L,70.0,270,0.17816961996119332
70,VTA_L,71.0,121,0.16305292483942568
71,Thal_R_L,72.0,6080,0.15335954841728763
72,VT_L,73.0,1508,0.15877023702907309
73,LDNT_L,74.0,144,0.16423160955309868
74,MGN_L,75.0,274,0.16896125751744656
75,LGN_L,76.0,390,0.16970172014374
76,ZI_L,77.0,1099,0.16130536376372373
77,RTN_L,78.0,1144,0.16028743322573966
78,Sub_PP_L,79.0,141,0.17579742906786872
79,DpMe_L,80.0,1328,0.17869752067062689
80,SC_L,81.0,5047,0.20349362927590658
81,IC_L,82.0,3132,0.24175745034102697
82,SN_L,83.0,506,0.1650834806675732
83,RPC_L,84.0,61,0.1859240966742156
84,MRN_L,85.0,1878,0.182092508463798
85,RI_L,86.0,215,0.17829975270947745
86,Cn_L,87.0,192,0.19791131932288408
87,PrCn_L,88.0,288,0.19204499531123373
88,BS_R_L,89.0,2694,0.1740431713400811
89,Iped_L,90.0,171,0.16318182120023414
90,Cb_1_10_L,91.0,24006,0.2122796206817088
91,Den_L,92.0,214,0.20661976884737193
92,Int_L,93.0,250,0.20388441616296768
93,FasDL_L,94.0,2,0.2279936894774437
94,FasMed_L,95.0,539,0.1925069642199656
95,Vll_L,96.0,14,0.17478496900626592
96,ParB_L,97.0,185,0.20516556678591547
97,KF_L,98.0,368,0.18079101103965356
98,PCRt_L,99.0,2379,0.18749869805566902
99,CG_L,100.0,1493,0.18518238087987549
100,Su5_L,101.0,136,0.18463192540494835
101,m5_L,102.0,53,0.16249284527774127
102,5N_L,103.0,219,0.1875769736151717
103,PnO_L,104.0,2949,0.1805907165895037
104,Raph_L,105.0,192,0.18601651132727662
105,Pr5_L,106.0,351,0.16511827734885393
106,DTg_L,107.0,1027,0.18406363284286065
107,Tg_L,108.0,1,0.22174282371997833
108,CoN_L,109.0,261,0.18043705552702205
109,Pn_L,110.0,654,0.18045484778736162
110,RTg_L,111.0,216,0.17026174458226673
111,Oliv_L,112.0,661,0.17797253146745073
112,PnC_L,113.0,1337,0.18813804893147704
113,Sp5_L,114.0,1293,0.1888331583854494
114,Ve_L,115.0,1878,0.18332261337449376
115,Gi_L,116.0,3253,0.1803063382845529
116,Cu_L,117.0,394,0.18651192705265157
117,ac_L,118.0,193,0.14645160371775454
118,ot_L,119.0,1082,0.1370021553947668
119,fi_L,120.0,949,0.15559826551046463
120,cc_L,121.0,7331,0.1724191544090412
121,fx_L,122.0,45,0.15027837231755256
122,st_L,123.0,396,0.15285592857334349
123,cg_L,124.0,417,0.20730267636638752
124,lo_L,125.0,420,0.1461039244951237
125,vhc_L,126.0,9,0.16575569907824197
126,ic_L,127.0,1656,0.15766710144184207
127,fr_L,128.0,0,
128,sm_L,129.0,38,0.12440782383476433
129,mt_L,130.0,0,
130,pc_L,131.0,16,0.1654722522944212
131,bsc_L,132.0,5,0.17922474443912506
132,cp_L,133.0,1304,0.1578377397942351
133,ll_L,134.0,472,0.17625512612068048
134,sp5_L,135.0,905,0.16106860463955125
135,py_L,136.0,300,0.1583426405241092
136,n8_L,137.0,75,0.14876515805721283
137,n7_L,138.0,0,
138,lfp_L,139.0,13,0.16704795108391687
139,mlf_ts_L,140.0,655,0.1742097915128897
140,sc_L,141.0,222,0.14679334530825014
141,ml_L,142.0,101,0.15805368405757564
142,vsc_L,143.0,625,0.17345516473054887
143,mcp_L,144.0,912,0.1521732332961013
144,scp_L,145.0,344,0.18189164549978667
145,icp_oc_tz_L,146.0,256,0.1694560878095217
146,cbw_L,147.0,3143,0.18193170376598475
147,LV_L,148.0,3068,0.12443462965313
148,A25_L,149.0,199,0.1505863760321883
149,das_L,150.0,0,
150,Post_L,151.0,289,0.21458526115516477
151,4V_L,152.0,455,0.15606268323384798
152,MiTg_L,153.0,476,0.1863401516207627
153,PT_L,154.0,39,0.14991877514582413
154,LDVL_L,155.0,58,0.17114237824390674
155,LP_L,156.0,85,0.17148012553944308
156,Athal_L,157.0,372,0.156738634411526
157,RMC_L,158.0,60,0.1736726666490237
158,PaR_L,159.0,0,
159,RR_L,160.0,257,0.17620671934770704
160,CSF_L,161.0,191,0.16412839135496404
161,IRN_L,162.0,854,0.19373806101865457
162,PHD_PaMP_Post_and_LatHy_L,163.0,699,0.16518221201857441
163,PR_p3Tg_L_L,164.0,35,0.16609676352569036
164,PVG_L,165.0,47,0.16482850449516417
165,BLA_L,166.0,799,0.1616660103537562
166,A24a_R,1001.0,891,0.17401453272745798
167,A24aPrime_R,1002.0,408,0.18158335658703365
168,A24b_R,1003.0,1036,0.19786355346009768
169,A24bPrime_R,1004.0,194,0.23122024440120176
170,A29a_R,1005.0,231,0.2183380610111988
171,A29b_R,1006.0,105,0.2616496056318283
172,A29c_R,1007.0,559,0.23608458833852267
173,A30_R,1008.0,1395,0.26792222038712554
174,A32_R,1009.0,1312,0.20255094254957284
175,Au1_R,1010.0,608,0.28753547657183126
176,AuD_R,1011.0,719,0.3046323941173408
177,AuV_R,1012.0,664,0.26236829781029597
178,DLO_R,1013.0,328,0.20021757256330514
179,Fr3_R,1014.0,320,0.2357494610361755
180,FrA_R,1015.0,3610,0.2448145044157462
181,Ins_R,1016.0,3615,0.20840901987341182
182,LO_R,1017.0,1389,0.19804279398390334
183,LPtA_R,1018.0,63,0.30790598075541237
184,M1_R,1019.0,3680,0.2469827937974554
185,M2_R,1020.0,3627,0.22458156904856347
186,MO_R,1021.0,767,0.19245714317361254
187,MPtA_R,1022.0,206,0.30388002980102613
188,PtPR_R,1023.0,5,0.2997739940881729
189,S1_R,1024.0,297,0.32244905377879285
190,S1BF_R,1025.0,4562,0.2845167977893002
191,S1DZ_R,1026.0,572,0.2956294590880821
192,S1FL_R,1027.0,1617,0.28174128604104803
193,S1HL_R,1028.0,1154,0.27899581790486905
194,S1J_R,1029.0,1399,0.25275953331319156
195,S1Sh_R,1030.0,27,0.29926251371701557
196,S1Tr_R,1031.0,259,0.30102801035269805
197,S1ULp_R,1032.0,2190,0.25816271322094686
198,S2_R,1033.0,2753,0.23201266329504125
199,TeA_R,1034.0,1417,0.2666571554724566
200,V1_R,1035.0,316,0.3131907608690141
201,V1B_R,1036.0,910,0.322400151684389
202,V1M_R,1037.0,1973,0.2971554654284564
203,V2L_R,1038.0,1178,0.30148511359717933
204,V2ML_R,1039.0,538,0.32212706087468723
205,V2MM_R,1040.0,786,0.31124169738731006
206,VO_R,1041.0,717,0.1920186603127497
207,CEnt_R,1042.0,2578,0.20569566336855627
208,DIEnt_R,1043.0,519,0.2059330383534606
209,DLEnt_R,1044.0,1129,0.2165963371458362
210,MEnt_R,1045.0,266,0.210845755847325
211,VIEnt_R,1046.0,517,0.2010890879241364
212,Cl_R,1047.0,65,0.17837161949047675
213,DCl_R,1048.0,0,
214,PLCo_R,1049.0,819,0.16586651479295467
215,VCl_R,1050.0,55,0.18953313475305383
216,Hc_R,1051.0,13020,0.20519191336613463
217,DTT_R,1052.0,173,0.15205784615753704
218,Ect_R,1053.0,995,0.24111443132761134
219,PaS_R,1054.0,576,0.20343565836083144
220,PRh_R,1055.0,764,0.2262464469708307
221,PrS_R,1056.0,43,0.2120374285204466
222,Pir_R,1057.0,26446,0.2030618206291415
223,APir_R,1058.0,107,0.20322525946893424
224,Hyp_R,1059.0,5582,0.189393511966314
225,Pre_Tel_R,1060.0,2931,0.18168079569244378
226,Sthal_R,1061.0,283,0.1792385691362219
227,SPT_R,1062.0,3388,0.17212031571768496
228,GP_R,1063.0,935,0.20009742952923087
229,CPu_R,1064.0,9867,0.1853256313849682
230,Amy_R,1065.0,6258,0.177882056479417
231,Acb_R,1066.0,1939,0.17735594116793027
232,BNst_R,1067.0,276,0.1800013378370499
233,Vpal_R,1068.0,1076,0.20656300178247758
234,PAG_R,1069.0,3825,0.20167893903512582
235,APT_R,1154.0,35,0.1519610990903207
236,VTA_R,1071.0,149,0.16388183407135457
237,Thal_R_R,1072.0,5844,0.1609576930349959
238,VT_R,1073.0,893,0.1749984644445166
239,LDNT_R,1074.0,131,0.18832705141478823
240,MGN_R,1075.0,232,0.18717222172638465
241,LGN_R,1076.0,331,0.1903256856782919
242,ZI_R,1077.0,858,0.17364415125204966
243,RTN_R,1078.0,853,0.18169437085058876
244,Sub_PP_R,1079.0,142,0.18687120990329226
245,DpMe_R,1080.0,1327,0.1833025252709015
246,SC_R,1081.0,3933,0.21132944069164356
247,IC_R,1082.0,2715,0.25488984487113814
248,SN_R,1083.0,590,0.17799549009335244
249,RPC_R,1084.0,61,0.18137367118577488
250,MRN_R,1085.0,1904,0.1921649777620029
251,RI_R,1086.0,152,0.18723393981590084
252,Cn_R,1087.0,224,0.21011407553617442
253,PrCn_R,1088.0,294,0.20350731513938125
254,BS_R_R,1089.0,3006,0.17636087130574252
255,Iped_R,1090.0,111,0.1679438603958031
256,Cb_1_10_R,1091.0,22977,0.22431677560269983
257,Den_R,1092.0,213,0.22355654052165752
258,Int_R,1093.0,240,0.21834386040767034
259,FasDL_R,1094.0,2,0.20685012638568878
260,FasMed_R,1095.0,521,0.1994410154057556
261,Vll_R,1096.0,16,0.1836054241284728
262,ParB_R,1097.0,207,0.20868590402142437
263,KF_R,1098.0,413,0.19375342614136942
264,PCRt_R,1099.0,2586,0.2036996758517745
265,CG_R,1100.0,1682,0.18746439970843715
266,Su5_R,1101.0,153,0.19895462302211064
267,m5_R,1102.0,56,0.17792125418782234
268,5N_R,1103.0,118,0.19371995759212365
269,PnC_R,1104.0,2919,0.1877375885553252
270,Raph_R,1105.0,178,0.18366979301143227
271,Pr5_R,1106.0,505,0.18669152128519398
272,DTg_R,1107.0,989,0.18740736898053645
273,Tg_R,1108.0,3,0.20385039846102396
274,CoN_R,1109.0,255,0.17957310299662982
275,Pn_R,1110.0,584,0.20506991659074206
276,RTg_R,1111.0,185,0.17143521184051358
277,Oliv_R,1112.0,638,0.19473867753643226
278,PnRt_R,1113.0,1346,0.19423367696389401
279,Sp5_R,1114.0,1252,0.20280803532931752
280,Ve_R,1115.0,2179,0.1916174496865535
281,Gi_R,1116.0,2999,0.18627426867218327
282,Cu_R,1117.0,467,0.1952584939799421
283,ac_R,1118.0,200,0.15149375407025217
284,ot_R,1119.0,905,0.1453400714003908
285,fi_R,1120.0,782,0.17144891235720167
286,cc_R,1121.0,8060,0.19292299806073346
287,fx_R,1122.0,32,0.1465449167881161
288,st_R,1123.0,347,0.17354665411051137
289,cg_R,1124.0,410,0.21069341825275886
290,lo_R,1125.0,368,0.19114610722855382
291,vhc_R,1126.0,22,0.17079981077801099
292,ic_R,1127.0,1483,0.1805193231705468
293,fr_R,1128.0,0,
294,sm_R,1129.0,27,0.13734500579260014
295,mt_R,1130.0,0,
296,pc_R,1131.0,11,0.16608058728955008
297,bsc_R,1132.0,7,0.18871104504380906
298,cp_R,1133.0,1319,0.17981778509446036
299,ll_R,1134.0,439,0.18947346392246747
300,sp5_R,1135.0,972,0.17842352003962905
301,py_R,1136.0,286,0.15197745427958198
302,n8_R,1137.0,110,0.16095626963810486
303,n7_R,1138.0,0,
304,lfp_R,1139.0,9,0.15828718741734824
305,mlf_ts_R,1140.0,538,0.175588541577629
306,sc_R,1141.0,190,0.15810653888865522
307,ml_R,1142.0,90,0.16936870962381362
308,vsc_R,1143.0,705,0.18780155784272132
309,mcp_R,1144.0,969,0.1631535012409537
310,scp_R,1145.0,345,0.1860588489667229
311,icp_oc_tz_R,1146.0,292,0.1790086683651356
312,cbw_R,1147.0,2871,0.19298502389706207
313,LV_R,1148.0,3380,0.13533573313974417
314,A25_R,1149.0,187,0.16231012567479342
315,das_R,1150.0,0,
316,Post_R,1151.0,219,0.2254367971529155
317,4V_R,1152.0,426,0.15366637273013872
318,MiTg_R,1153.0,429,0.1993001015522541
319,APT_R,1154.0,35,0.1519610990903207
320,LDVL_R,1155.0,75,0.19443329751491548
321,LP_R,1156.0,93,0.19272827493247166
322,AThal_R,1157.0,353,0.16939932937409316
323,RMC_R,1158.0,70,0.1711925764169012
324,PaR_R,1159.0,0,
325,RR_R,1160.0,233,0.1866613957119602
326,CSF_R,1161.0,139,0.16455220430419384
327,IRN_R,1162.0,841,0.20296850354010937
328,PHD_PaMP_Post_and_LatHy_R,1163.0,863,0.17168846618500674
329,PR_p3Tg_L_R,1164.0,42,0.16249763788211913
330,PVG_R,1165.0,32,0.16833219397813082
331,BLA_R,,0,
