,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,782,0.20375503891188165
1,A24aPrime_L,2.0,341,0.2145305922653668
2,A24b_L,3.0,896,0.2290792821773461
3,A24bPrime_L,4.0,211,0.263954319024538
4,A29a_L,5.0,187,0.21758658644110762
5,A29b_L,6.0,97,0.24640032940918638
6,A29c_L,7.0,500,0.2504668768644333
7,A30_L,8.0,1684,0.2600341794985809
8,A32_L,9.0,1174,0.22435573459280816
9,Au1_L,10.0,701,0.2476898779861427
10,AuD_L,11.0,857,0.2648663978975879
11,AuV_L,12.0,755,0.24237158061159367
12,DLO_L,13.0,325,0.21542160634811108
13,Fr3_L,14.0,388,0.24186877238074528
14,FrA_L,15.0,3489,0.24827198004822534
15,Ins_L,16.0,4061,0.21199244306012494
16,LO_L,17.0,1440,0.21896546848842668
17,LPtA_L,18.0,105,0.2928742712452298
18,M1_L,19.0,3639,0.2560825699648054
19,M2_L,20.0,3511,0.25748628517334293
20,MO_L,21.0,703,0.2154970276533794
21,MPtA_L,22.0,172,0.2941368967294693
22,PtPR_L,23.0,32,0.2997309807687998
23,S1_L,24.0,330,0.30720833655108104
24,S1BF_L,25.0,4740,0.2734177094495183
25,S1DZ_L,26.0,620,0.2850912140021401
26,S1FL_L,27.0,1802,0.2754281214484893
27,S1HL_L,28.0,1470,0.28933833144149
28,S1J_L,29.0,1484,0.2552836100568347
29,S1Sh_L,30.0,42,0.2953086467016311
30,S1Tr_L,31.0,308,0.30820809725623627
31,S1ULp_L,32.0,2160,0.2458664271014708
32,S2_L,33.0,2987,0.2206450497932984
33,TeA_L,34.0,1482,0.24637291679226678
34,V1_L,35.0,310,0.30302510694150003
35,V1B_L,36.0,1051,0.2754995731316103
36,V1M_L,37.0,2290,0.2469484961864144
37,V2L_L,38.0,1282,0.2700141771419
38,V2ML_L,39.0,566,0.2877682568538315
39,V2MM_L,40.0,893,0.2749016803896841
40,VO_L,41.0,757,0.20747458159214913
41,CEnt_L,42.0,2698,0.20720222996916482
42,DIEnt_L,43.0,635,0.23233376827061647
43,DLEnt_L,44.0,1229,0.22796755442600408
44,MEnt_L,45.0,275,0.22628958799622276
45,VIEnt_L,46.0,549,0.2282956739673849
46,Cl_L,47.0,3,0.22613508005936941
47,DCl_L,48.0,0,
48,PLCo_L,49.0,1144,0.1891631942756891
49,VCl_L,50.0,11,0.22615078362551602
50,Hc_L,51.0,13980,0.2198871728104775
51,DTT_L,52.0,223,0.2005122498412838
52,Ect_L,53.0,947,0.23812340907241122
53,PaS_L,54.0,506,0.21008268606815886
54,PRh_L,55.0,746,0.2105508167296648
55,PrS_L,56.0,49,0.20871530503642802
56,Pir_L,57.0,29761,0.22266453366095387
57,APir_L,58.0,122,0.22094017364939705
58,Hyp_L,59.0,6735,0.22862443424921702
59,Preopt_L,60.0,3154,0.2216359994946474
60,Sthal_L,61.0,300,0.21038792190452416
61,SPT_L,62.0,3502,0.2165325534445415
62,GP_L,63.0,1057,0.2312164991149501
63,CPu_L,64.0,11137,0.21016987585299982
64,Amy_L,65.0,6310,0.21733605823112082
65,Acb_L,66.0,1904,0.2140681953091143
66,BNst_L,67.0,316,0.22075886887651455
67,Vpal_L,68.0,973,0.2453623587554675
68,PAG_L,69.0,3790,0.20615698505281457
69,APT_L,70.0,333,0.2025846785700715
70,VTA_L,71.0,153,0.17979641565505197
71,Thal_R_L,72.0,6120,0.19018336389992946
72,VT_L,73.0,1454,0.19743358328979477
73,LDNT_L,74.0,151,0.2008552887285782
74,MGN_L,75.0,286,0.19659420235694705
75,LGN_L,76.0,482,0.20282783665350365
76,ZI_L,77.0,1058,0.2015651076299707
77,RTN_L,78.0,1225,0.20485888933040658
78,Sub_PP_L,79.0,130,0.2093661748445951
79,DpMe_L,80.0,1424,0.2099265040662349
80,SC_L,81.0,5389,0.21161585658481755
81,IC_L,82.0,3313,0.23723614534743775
82,SN_L,83.0,566,0.19825599033240715
83,RPC_L,84.0,64,0.21417723456397653
84,MRN_L,85.0,2019,0.20788583876735772
85,RI_L,86.0,212,0.20907369231418618
86,Cn_L,87.0,183,0.21707876963042172
87,PrCn_L,88.0,305,0.20935707253510835
88,BS_R_L,89.0,3517,0.19817853143996378
89,Iped_L,90.0,157,0.20282600661087188
90,Cb_1_10_L,91.0,27520,0.2238215361282549
91,Den_L,92.0,213,0.23891961392662334
92,Int_L,93.0,255,0.2326787397557614
93,FasDL_L,94.0,1,0.22064556181430817
94,FasMed_L,95.0,576,0.21403887616987857
95,Vll_L,96.0,17,0.18964163213968277
96,ParB_L,97.0,213,0.2208599244624796
97,KF_L,98.0,400,0.21005135048180817
98,PCRt_L,99.0,2665,0.22567311159944892
99,CG_L,100.0,1681,0.20902712397157686
100,Su5_L,101.0,149,0.20882948322984196
101,m5_L,102.0,66,0.19930524017774698
102,5N_L,103.0,220,0.21639917160977018
103,PnO_L,104.0,3169,0.21071927213695155
104,Raph_L,105.0,224,0.20980868694771612
105,Pr5_L,106.0,403,0.19697096624016466
106,DTg_L,107.0,1038,0.20300087096575137
107,Tg_L,108.0,0,
108,CoN_L,109.0,310,0.2124763514005369
109,Pn_L,110.0,654,0.2455721746230162
110,RTg_L,111.0,203,0.2043779381904109
111,Oliv_L,112.0,748,0.22903809387655183
112,PnC_L,113.0,1501,0.22167775502985593
113,Sp5_L,114.0,1619,0.2234444106256542
114,Ve_L,115.0,2029,0.21025889329410294
115,Gi_L,116.0,3846,0.21253651927224806
116,Cu_L,117.0,511,0.22456113935799982
117,ac_L,118.0,219,0.19201387114584717
118,ot_L,119.0,1140,0.18144310810848285
119,fi_L,120.0,1035,0.18396934049860866
120,cc_L,121.0,8573,0.20229534564782478
121,fx_L,122.0,39,0.18931126785583985
122,st_L,123.0,447,0.19969554563830097
123,cg_L,124.0,456,0.21386102234062396
124,lo_L,125.0,497,0.1742761076785909
125,vhc_L,126.0,15,0.19712388614813486
126,ic_L,127.0,1721,0.20586399739215291
127,fr_L,128.0,0,
128,sm_L,129.0,38,0.1615160223292677
129,mt_L,130.0,0,
130,pc_L,131.0,16,0.17778207641094923
131,bsc_L,132.0,6,0.1658234770099322
132,cp_L,133.0,1344,0.1993313755623863
133,ll_L,134.0,480,0.20106718642637134
134,sp5_L,135.0,1012,0.20222491381152463
135,py_L,136.0,305,0.1935904363872575
136,n8_L,137.0,94,0.17691987618169885
137,n7_L,138.0,0,
138,lfp_L,139.0,10,0.19012784361839294
139,mlf_ts_L,140.0,832,0.1927761096919242
140,sc_L,141.0,443,0.17341478987182773
141,ml_L,142.0,88,0.19988364048979498
142,vsc_L,143.0,692,0.20639863984950016
143,mcp_L,144.0,1025,0.18722176088065637
144,scp_L,145.0,353,0.20135816095908707
145,icp_oc_tz_L,146.0,305,0.2080818584219354
146,cbw_L,147.0,3402,0.20718456935279864
147,LV_L,148.0,3750,0.15387939599851766
148,A25_L,149.0,187,0.19399894495061373
149,das_L,150.0,0,
150,Post_L,151.0,259,0.21952399812840126
151,4V_L,152.0,509,0.17452247022177242
152,MiTg_L,153.0,434,0.21035350302946731
153,PT_L,154.0,45,0.14049522984359
154,LDVL_L,155.0,64,0.20196594181470573
155,LP_L,156.0,90,0.18969721843798956
156,Athal_L,157.0,382,0.20614544516770628
157,RMC_L,158.0,72,0.20133054525487953
158,PaR_L,159.0,0,
159,RR_L,160.0,252,0.21150652011708607
160,CSF_L,161.0,165,0.18185924354827765
161,IRN_L,162.0,905,0.22552767036204838
162,PHD_PaMP_Post_and_LatHy_L,163.0,742,0.20275720486020785
163,PR_p3Tg_L_L,164.0,32,0.20593138644471765
164,PVG_L,165.0,47,0.19161608085987417
165,BLA_L,166.0,988,0.23201298090791414
166,A24a_R,1001.0,817,0.20073788769935308
