,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,821,0.24783010790793816
1,A24aPrime_L,2.0,311,0.268102185135869
2,A24b_L,3.0,782,0.2812781794296811
3,A24bPrime_L,4.0,192,0.3245143676176667
4,A29a_L,5.0,190,0.27569007434343035
5,A29b_L,6.0,105,0.3063614430881682
6,A29c_L,7.0,610,0.3061011140463782
7,A30_L,8.0,1594,0.3245483243083079
8,A32_L,9.0,1197,0.27979180408500093
9,Au1_L,10.0,655,0.29957572783677633
10,AuD_L,11.0,814,0.30119615698036456
11,AuV_L,12.0,725,0.2932849618484234
12,DLO_L,13.0,367,0.24893075773842652
13,Fr3_L,14.0,390,0.27695191785311085
14,FrA_L,15.0,3239,0.30860516772033
15,Ins_L,16.0,3828,0.25330008957982686
16,LO_L,17.0,1609,0.2550200602054744
17,LPtA_L,18.0,82,0.35157641932004835
18,M1_L,19.0,3482,0.30775361130894563
19,M2_L,20.0,3202,0.3186987702822607
20,MO_L,21.0,731,0.25619600611329896
21,MPtA_L,22.0,152,0.36654671497250857
22,PtPR_L,23.0,28,0.33149453571864534
23,S1_L,24.0,280,0.31038897968828677
24,S1BF_L,25.0,4457,0.3011182295557614
25,S1DZ_L,26.0,572,0.32743315594075445
26,S1FL_L,27.0,1574,0.3207950840740828
27,S1HL_L,28.0,1300,0.3293625738414434
28,S1J_L,29.0,1429,0.29180723598697456
29,S1Sh_L,30.0,29,0.3406503272467646
30,S1Tr_L,31.0,247,0.3531297035062844
31,S1ULp_L,32.0,2182,0.30869603339210494
32,S2_L,33.0,2716,0.271459390531364
33,TeA_L,34.0,1419,0.2992480122671319
34,V1_L,35.0,280,0.3351717657276562
35,V1B_L,36.0,855,0.31535426432277724
36,V1M_L,37.0,1932,0.3037711039771698
37,V2L_L,38.0,1163,0.3083670087805721
38,V2ML_L,39.0,485,0.3521095882371529
39,V2MM_L,40.0,782,0.3403152995802405
40,VO_L,41.0,828,0.24533436900895575
41,CEnt_L,42.0,2368,0.25906169139371077
42,DIEnt_L,43.0,610,0.26002976739260014
43,DLEnt_L,44.0,1337,0.2729837002487618
44,MEnt_L,45.0,256,0.2631025584996678
45,VIEnt_L,46.0,495,0.2691095974409219
46,Cl_L,47.0,5,0.29460943341255186
47,DCl_L,48.0,0,
48,PLCo_L,49.0,952,0.24390972019838436
49,VCl_L,50.0,13,0.25226673025351304
50,Hc_L,51.0,14669,0.2571914818515518
51,DTT_L,52.0,203,0.23349244231954583
52,Ect_L,53.0,937,0.28906262391659343
53,PaS_L,54.0,480,0.24549642348041137
54,PRh_L,55.0,744,0.27902826878132037
55,PrS_L,56.0,55,0.24320562021298842
56,Pir_L,57.0,29960,0.2807897698028493
57,APir_L,58.0,119,0.2683033045350003
58,Hyp_L,59.0,5851,0.23862249485943343
59,Preopt_L,60.0,3147,0.2512137515877007
60,Sthal_L,61.0,279,0.242013747493426
61,SPT_L,62.0,3654,0.24557677795881122
62,GP_L,63.0,1085,0.25705073672230894
63,CPu_L,64.0,11236,0.2458053560799532
64,Amy_L,65.0,6603,0.2470818362801739
65,Acb_L,66.0,1922,0.23901314596944992
66,BNst_L,67.0,345,0.24572690803071726
67,Vpal_L,68.0,909,0.26934921352973473
68,PAG_L,69.0,3921,0.2394300997656269
69,APT_L,70.0,277,0.2444946063608469
70,VTA_L,71.0,112,0.23308968796793902
71,Thal_R_L,72.0,6056,0.21944675492331916
72,VT_L,73.0,1441,0.2286300503963567
73,LDNT_L,74.0,164,0.238883415100778
74,MGN_L,75.0,260,0.23797120731323956
75,LGN_L,76.0,424,0.24330363211766728
76,ZI_L,77.0,1083,0.22617323519120255
77,RTN_L,78.0,1209,0.2389473983628184
78,Sub_PP_L,79.0,144,0.24716480272925562
79,DpMe_L,80.0,1547,0.23637288047871285
80,SC_L,81.0,5673,0.2614691480514855
81,IC_L,82.0,3181,0.28718756682906127
82,SN_L,83.0,547,0.23574757556919643
83,RPC_L,84.0,72,0.24153180937800142
84,MRN_L,85.0,2014,0.2419326564199046
85,RI_L,86.0,225,0.24501632206969792
86,Cn_L,87.0,178,0.24315902540523016
87,PrCn_L,88.0,292,0.23656888193871878
88,BS_R_L,89.0,2852,0.22492968075390157
89,Iped_L,90.0,106,0.2730618696308361
90,Cb_1_10_L,91.0,25898,0.2625931599200076
91,Den_L,92.0,244,0.26906799537236575
92,Int_L,93.0,283,0.26260045076006294
93,FasDL_L,94.0,2,0.258667953312397
94,FasMed_L,95.0,608,0.2472032950945983
95,Vll_L,96.0,14,0.21796770500285284
96,ParB_L,97.0,185,0.2524234627549713
97,KF_L,98.0,437,0.23975414733319314
98,PCRt_L,99.0,2645,0.23672212102012058
99,CG_L,100.0,1189,0.2281361666858146
100,Su5_L,101.0,143,0.24362379052005448
101,m5_L,102.0,54,0.21203425195482042
102,5N_L,103.0,194,0.24282958873153962
103,PnO_L,104.0,2816,0.23644593735595912
104,Raph_L,105.0,212,0.2548048560208869
105,Pr5_L,106.0,360,0.22998732309788467
106,DTg_L,107.0,1094,0.23901347285460076
107,Tg_L,108.0,1,0.25526049733161926
108,CoN_L,109.0,283,0.2302229855696641
109,Pn_L,110.0,501,0.21574213632388028
110,RTg_L,111.0,181,0.22384276245180415
111,Oliv_L,112.0,927,0.23514969520745024
112,PnC_L,113.0,1390,0.23011697145889132
113,Sp5_L,114.0,1492,0.23500969406746666
114,Ve_L,115.0,1662,0.23492837642576148
115,Gi_L,116.0,3803,0.22188809467418363
116,Cu_L,117.0,324,0.23448228348552444
117,ac_L,118.0,232,0.2153714836799893
118,ot_L,119.0,1151,0.21516067167981928
119,fi_L,120.0,1115,0.22206700697474416
120,cc_L,121.0,9253,0.2365382432206494
121,fx_L,122.0,48,0.2122136534502109
122,st_L,123.0,406,0.23447754402906437
123,cg_L,124.0,502,0.2714428907905917
124,lo_L,125.0,406,0.25150451862386297
125,vhc_L,126.0,9,0.25925227668550277
126,ic_L,127.0,1799,0.23359453770072677
127,fr_L,128.0,0,
128,sm_L,129.0,34,0.17754324021584847
129,mt_L,130.0,0,
130,pc_L,131.0,18,0.2348296195268631
131,bsc_L,132.0,3,0.19544127583503723
132,cp_L,133.0,1313,0.22615016847054467
133,ll_L,134.0,505,0.24233782101090592
134,sp5_L,135.0,1123,0.2098803393847955
135,py_L,136.0,385,0.2075285620213329
136,n8_L,137.0,73,0.20213827868438747
137,n7_L,138.0,0,
138,lfp_L,139.0,10,0.1817682109773159
139,mlf_ts_L,140.0,681,0.21433602469301785
140,sc_L,141.0,229,0.20958083207560418
141,ml_L,142.0,97,0.2153700757579705
142,vsc_L,143.0,652,0.23602649224407835
143,mcp_L,144.0,909,0.2117576433839512
144,scp_L,145.0,372,0.23271459417157275
145,icp_oc_tz_L,146.0,318,0.21920050685323259
146,cbw_L,147.0,3329,0.23428272022413899
147,LV_L,148.0,5125,0.17208732982670388
148,A25_L,149.0,198,0.2367611194424557
149,das_L,150.0,0,
150,Post_L,151.0,259,0.2669989512693928
151,4V_L,152.0,498,0.19605358669078016
152,MiTg_L,153.0,495,0.2440266821420554
153,PT_L,154.0,43,0.17464176946601204
154,LDVL_L,155.0,63,0.24322580203177438
155,LP_L,156.0,90,0.23080535348918702
156,Athal_L,157.0,395,0.24058495710922193
157,RMC_L,158.0,73,0.22487797679966443
158,PaR_L,159.0,0,
159,RR_L,160.0,247,0.23917915132122966
160,CSF_L,161.0,182,0.20687238812692219
161,IRN_L,162.0,803,0.22759370949318816
162,PHD_PaMP_Post_and_LatHy_L,163.0,673,0.23558612805507512
163,PR_p3Tg_L_L,164.0,49,0.23446111411464457
164,PVG_L,165.0,47,0.23168384172814957
165,BLA_L,166.0,1013,0.25648447602016433
166,A24a_R,1001.0,788,0.2508968019924188
167,A24aPrime_R,1002.0,389,0.2626457570029715
168,A24b_R,1003.0,892,0.28396423906087875
169,A24bPrime_R,1004.0,206,0.32998815627352707
170,A29a_R,1005.0,232,0.2819406909803892
171,A29b_R,1006.0,104,0.3240996252458829
172,A29c_R,1007.0,645,0.3080092601304831
173,A30_R,1008.0,1437,0.3307695480979974
174,A32_R,1009.0,1090,0.272192267280653
