,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,722,0.22636333940720954
1,A24aPrime_L,2.0,300,0.251844407171011
2,A24b_L,3.0,734,0.25957933581898585
3,A24bPrime_L,4.0,188,0.31907480828305507
4,A29a_L,5.0,173,0.26091859806221346
5,A29b_L,6.0,103,0.2845624210765061
6,A29c_L,7.0,504,0.3097852145927766
7,A30_L,8.0,1550,0.3146444107495969
8,A32_L,9.0,1095,0.23879460265102997
9,Au1_L,10.0,700,0.26019449520323956
10,AuD_L,11.0,924,0.26544376020017385
11,AuV_L,12.0,779,0.26141678837435234
12,DLO_L,13.0,339,0.20789093328612393
13,Fr3_L,14.0,423,0.2322976904487497
14,FrA_L,15.0,3076,0.25428900927891385
15,Ins_L,16.0,3905,0.21568525062823876
16,LO_L,17.0,1327,0.21811915990231895
17,LPtA_L,18.0,84,0.34425702655599233
18,M1_L,19.0,3168,0.2747479116454758
19,M2_L,20.0,2838,0.2825368832504092
20,MO_L,21.0,694,0.22577373013544494
21,MPtA_L,22.0,132,0.36530748122569284
22,PtPR_L,23.0,31,0.3173229559775322
23,S1_L,24.0,333,0.28430958678414514
24,S1BF_L,25.0,5205,0.2699277543139847
25,S1DZ_L,26.0,649,0.28191972692685063
26,S1FL_L,27.0,1726,0.28048630286038334
27,S1HL_L,28.0,1300,0.3050972144620923
28,S1J_L,29.0,1486,0.2404865959852252
29,S1Sh_L,30.0,32,0.3337779212743044
30,S1Tr_L,31.0,223,0.3438768013977684
31,S1ULp_L,32.0,2198,0.24712786767580924
32,S2_L,33.0,2871,0.24019265590084427
33,TeA_L,34.0,1806,0.2460001563614158
34,V1_L,35.0,270,0.3181859322168209
35,V1B_L,36.0,1050,0.27111475902299087
36,V1M_L,37.0,2257,0.2652517769421341
37,V2L_L,38.0,1469,0.2624946718362215
38,V2ML_L,39.0,495,0.34435980900971574
39,V2MM_L,40.0,948,0.3230834029504896
40,VO_L,41.0,731,0.21334497769211613
41,CEnt_L,42.0,2938,0.20063327518250562
42,DIEnt_L,43.0,636,0.21628669843827403
43,DLEnt_L,44.0,1428,0.21285608139786483
44,MEnt_L,45.0,307,0.2052523248407274
45,VIEnt_L,46.0,517,0.21209855869095376
46,Cl_L,47.0,4,0.20322294533252716
47,DCl_L,48.0,0,
48,PLCo_L,49.0,960,0.18819006892542045
49,VCl_L,50.0,16,0.22220034897327423
50,Hc_L,51.0,14551,0.22785898583508687
51,DTT_L,52.0,246,0.20783977849575563
52,Ect_L,53.0,1171,0.2408456556263589
53,PaS_L,54.0,569,0.20900033263780948
54,PRh_L,55.0,849,0.22688050045071279
55,PrS_L,56.0,60,0.22007219940423967
56,Pir_L,57.0,29300,0.23445467864204542
57,APir_L,58.0,99,0.2231507236608351
58,Hyp_L,59.0,5711,0.2129130793878565
59,Preopt_L,60.0,3069,0.2258395679263503
60,Sthal_L,61.0,294,0.2221326148074095
61,SPT_L,62.0,3505,0.2189755470825415
62,GP_L,63.0,1100,0.24106967839327725
63,CPu_L,64.0,11567,0.2191302981148731
64,Amy_L,65.0,6147,0.21601257466867005
65,Acb_L,66.0,2094,0.21349453460691994
66,BNst_L,67.0,330,0.22992568458571577
67,Vpal_L,68.0,969,0.24791103804443643
68,PAG_L,69.0,4106,0.2183149903123546
69,APT_L,70.0,356,0.2300152118956105
70,VTA_L,71.0,99,0.2125057288342052
71,Thal_R_L,72.0,6381,0.2019241217239498
72,VT_L,73.0,1543,0.21402887479484814
73,LDNT_L,74.0,165,0.22006530210827335
74,MGN_L,75.0,296,0.20966803016946525
75,LGN_L,76.0,498,0.2240465080223409
76,ZI_L,77.0,1143,0.21067886100144942
77,RTN_L,78.0,1318,0.22010859424228552
78,Sub_PP_L,79.0,148,0.22149178677716772
79,DpMe_L,80.0,1473,0.22455870027818894
80,SC_L,81.0,5674,0.23456071814568763
81,IC_L,82.0,3296,0.23201928904519678
82,SN_L,83.0,616,0.20630765218868272
83,RPC_L,84.0,57,0.22386414544624195
84,MRN_L,85.0,2212,0.2197982325904058
85,RI_L,86.0,216,0.22415532057897913
86,Cn_L,87.0,198,0.2196497516800659
87,PrCn_L,88.0,350,0.22522873695407594
88,BS_R_L,89.0,3073,0.18446723827555792
89,Iped_L,90.0,120,0.24131324073920649
90,Cb_1_10_L,91.0,26271,0.19193489429882002
91,Den_L,92.0,258,0.20394262148774872
92,Int_L,93.0,291,0.19961127382783136
93,FasDL_L,94.0,2,0.18375789374113083
94,FasMed_L,95.0,650,0.1857741821385347
95,Vll_L,96.0,18,0.18846026187141737
96,ParB_L,97.0,206,0.2214964495121854
97,KF_L,98.0,468,0.2049876883562304
98,PCRt_L,99.0,2628,0.1807103872290689
99,CG_L,100.0,1524,0.18335241751056017
100,Su5_L,101.0,162,0.209957051884245
101,m5_L,102.0,57,0.17512846646601693
102,5N_L,103.0,226,0.20661468342342207
103,PnO_L,104.0,3102,0.20420834306581875
104,Raph_L,105.0,235,0.22386288807747212
105,Pr5_L,106.0,402,0.18921011749339933
106,DTg_L,107.0,1226,0.20410284444653287
107,Tg_L,108.0,1,0.22623418271541595
108,CoN_L,109.0,276,0.18334954526221406
109,Pn_L,110.0,609,0.1963908608654156
110,RTg_L,111.0,223,0.198782647972417
111,Oliv_L,112.0,893,0.17201173030182068
112,PnC_L,113.0,1479,0.18557356346834342
113,Sp5_L,114.0,1566,0.16112154446266316
114,Ve_L,115.0,1755,0.1838796864844795
115,Gi_L,116.0,4367,0.15844226756585472
116,Cu_L,117.0,362,0.17489762624818317
117,ac_L,118.0,203,0.19805209918562414
118,ot_L,119.0,1024,0.1935564921659534
119,fi_L,120.0,1084,0.20006992536634757
120,cc_L,121.0,8613,0.219344229788076
121,fx_L,122.0,50,0.1910690848529339
122,st_L,123.0,400,0.21400849506258965
123,cg_L,124.0,470,0.25318232971303006
124,lo_L,125.0,428,0.1975092671759357
125,vhc_L,126.0,18,0.2088073566555977
126,ic_L,127.0,1694,0.2191646214543788
127,fr_L,128.0,0,
128,sm_L,129.0,35,0.16024091116019656
129,mt_L,130.0,0,
130,pc_L,131.0,18,0.2091007505853971
131,bsc_L,132.0,4,0.17872819676995277
132,cp_L,133.0,1319,0.19956937692974713
133,ll_L,134.0,499,0.2045794115933722
134,sp5_L,135.0,1029,0.1561730425113376
135,py_L,136.0,455,0.15633031450785123
136,n8_L,137.0,78,0.15787145562278918
137,n7_L,138.0,1,0.15668612718582153
138,lfp_L,139.0,14,0.17415658278124674
139,mlf_ts_L,140.0,809,0.1590472252991129
140,sc_L,141.0,258,0.14426163858336996
141,ml_L,142.0,96,0.20911503195141753
142,vsc_L,143.0,681,0.19952200764513925
143,mcp_L,144.0,1022,0.17765422358584032
144,scp_L,145.0,402,0.1969509317692536
145,icp_oc_tz_L,146.0,273,0.16207813601190355
146,cbw_L,147.0,3581,0.17625653909982766
147,LV_L,148.0,3928,0.15652393077190987
148,A25_L,149.0,181,0.2073700262943684
149,das_L,150.0,0,
150,Post_L,151.0,290,0.24251329107531186
151,4V_L,152.0,614,0.14863158727264947
