,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,705,0.16760423175515013
1,A24aPrime_L,2.0,297,0.20288153905860504
2,A24b_L,3.0,763,0.20166196722932755
3,A24bPrime_L,4.0,220,0.2677039664577354
4,A29a_L,5.0,195,0.20870942637706413
5,A29b_L,6.0,111,0.24335772430037592
6,A29c_L,7.0,588,0.2559506251749133
7,A30_L,8.0,1635,0.2690669732128444
8,A32_L,9.0,1065,0.18291315168422154
9,Au1_L,10.0,653,0.20853069258046553
10,AuD_L,11.0,845,0.22503915825891777
11,AuV_L,12.0,699,0.1980429738227049
12,DLO_L,13.0,298,0.17687668908862458
13,Fr3_L,14.0,412,0.18892735521336204
14,FrA_L,15.0,3271,0.1936177842738121
15,Ins_L,16.0,3653,0.18086649240992705
16,LO_L,17.0,1464,0.17347933255298867
17,LPtA_L,18.0,96,0.30741531603659195
18,M1_L,19.0,3554,0.22124195288076418
19,M2_L,20.0,3244,0.22514833709622392
20,MO_L,21.0,707,0.17092949861220624
21,MPtA_L,22.0,182,0.31885893389091385
22,PtPR_L,23.0,26,0.2808896331832959
23,S1_L,24.0,296,0.25689860060811043
24,S1BF_L,25.0,4368,0.2300024869427044
25,S1DZ_L,26.0,533,0.25109673740157046
26,S1FL_L,27.0,1610,0.24267916919096658
27,S1HL_L,28.0,1280,0.2672337952069938
28,S1J_L,29.0,1399,0.19490829371102286
29,S1Sh_L,30.0,33,0.28976730325005273
30,S1Tr_L,31.0,259,0.3059697118965355
31,S1ULp_L,32.0,2200,0.19885358633304184
32,S2_L,33.0,2710,0.18437362197112994
33,TeA_L,34.0,1443,0.19786834021047925
34,V1_L,35.0,275,0.28352773064916786
35,V1B_L,36.0,932,0.24442978770084392
36,V1M_L,37.0,2088,0.23174597520445442
37,V2L_L,38.0,1265,0.2236914534696006
38,V2ML_L,39.0,515,0.2908647543307647
39,V2MM_L,40.0,920,0.27122692124837117
40,VO_L,41.0,734,0.16431554657602504
41,CEnt_L,42.0,2360,0.1759713386880013
42,DIEnt_L,43.0,554,0.19052036882576528
43,DLEnt_L,44.0,1280,0.19044875678373502
44,MEnt_L,45.0,264,0.18722048808227887
45,VIEnt_L,46.0,508,0.18992702620411953
46,Cl_L,47.0,3,0.19380776087443033
47,DCl_L,48.0,0,
48,PLCo_L,49.0,994,0.188412064712652
49,VCl_L,50.0,13,0.20350894446556383
50,Hc_L,51.0,13952,0.18462186014929086
51,DTT_L,52.0,191,0.15393735095858574
52,Ect_L,53.0,877,0.19432898255717115
53,PaS_L,54.0,545,0.17461510461951615
54,PRh_L,55.0,776,0.18104671808823788
55,PrS_L,56.0,59,0.17329340415485836
56,Pir_L,57.0,28699,0.19229904443391382
57,APir_L,58.0,98,0.1970324377168198
58,Hyp_L,59.0,5653,0.17487354016443196
59,Preopt_L,60.0,2920,0.18062180710879908
60,Sthal_L,61.0,257,0.17826512441444953
61,SPT_L,62.0,3371,0.1703228442088428
62,GP_L,63.0,1000,0.18324370037764312
63,CPu_L,64.0,10825,0.1727486954846228
64,Amy_L,65.0,6543,0.18302998039060123
65,Acb_L,66.0,1917,0.1706701332647849
66,BNst_L,67.0,326,0.1749876312728674
67,Vpal_L,68.0,874,0.1937256177857484
68,PAG_L,69.0,3733,0.1749137414126846
69,APT_L,70.0,330,0.17186498958053012
70,VTA_L,71.0,93,0.17420682471285584
71,Thal_R_L,72.0,5915,0.1591795257531226
72,VT_L,73.0,1412,0.16515966927996775
73,LDNT_L,74.0,145,0.1680137912774908
74,MGN_L,75.0,269,0.17074395411519755
75,LGN_L,76.0,457,0.17185097714352138
76,ZI_L,77.0,980,0.16645767239435594
77,RTN_L,78.0,1176,0.16990655930522752
78,Sub_PP_L,79.0,133,0.1801406198314258
79,DpMe_L,80.0,1398,0.1708530462127131
80,SC_L,81.0,5535,0.1890238710346799
81,IC_L,82.0,3090,0.20028827852030018
82,SN_L,83.0,538,0.17384490326434707
83,RPC_L,84.0,66,0.17408831902977193
84,MRN_L,85.0,1969,0.1732683292632178
85,RI_L,86.0,222,0.16825288168347632
86,Cn_L,87.0,139,0.17786542653179854
87,PrCn_L,88.0,272,0.17111068216207273
88,BS_R_L,89.0,3332,0.1679995325505778
89,Iped_L,90.0,117,0.18991988852747485
90,Cb_1_10_L,91.0,25190,0.18448741301426863
91,Den_L,92.0,228,0.18551948813623503
92,Int_L,93.0,288,0.18408828153688875
93,FasDL_L,94.0,4,0.19654680788516998
94,FasMed_L,95.0,590,0.17337504665730363
95,Vll_L,96.0,16,0.1378782452084124
96,ParB_L,97.0,184,0.18586191251550033
97,KF_L,98.0,416,0.17503740269547471
98,PCRt_L,99.0,3003,0.18127450841667253
99,CG_L,100.0,1604,0.16854029306979326
100,Su5_L,101.0,138,0.17562742304542792
101,m5_L,102.0,55,0.15779920139096
102,5N_L,103.0,207,0.17757364175313914
103,PnO_L,104.0,3021,0.1738914522443809
104,Raph_L,105.0,209,0.17724052734637374
105,Pr5_L,106.0,380,0.16780595981368893
106,DTg_L,107.0,1096,0.17286314055269217
107,Tg_L,108.0,1,0.203979954123497
108,CoN_L,109.0,285,0.164678309230428
109,Pn_L,110.0,648,0.16847210230857687
110,RTg_L,111.0,238,0.17296182032392807
111,Oliv_L,112.0,767,0.1888962179237814
112,PnC_L,113.0,1673,0.17986052675262867
113,Sp5_L,114.0,2172,0.182261747495026
114,Ve_L,115.0,1945,0.17063130016192066
115,Gi_L,116.0,4798,0.17346417680211915
116,Cu_L,117.0,480,0.17405598539238173
117,ac_L,118.0,227,0.15042562661323253
118,ot_L,119.0,1078,0.1595534615197905
119,fi_L,120.0,1040,0.1538322796830191
120,cc_L,121.0,8285,0.1715009101202816
121,fx_L,122.0,45,0.15074906299511592
122,st_L,123.0,410,0.1655316079716857
123,cg_L,124.0,449,0.2109292163814362
124,lo_L,125.0,395,0.16915191854291325
125,vhc_L,126.0,10,0.1704851895570755
126,ic_L,127.0,1684,0.16767724827728334
127,fr_L,128.0,0,
128,sm_L,129.0,35,0.127818057260343
129,mt_L,130.0,0,
130,pc_L,131.0,12,0.1588712433973948
131,bsc_L,132.0,5,0.12310438454151154
132,cp_L,133.0,1214,0.1646308601884512
133,ll_L,134.0,438,0.16887847966935537
134,sp5_L,135.0,1246,0.15811822721271224
135,py_L,136.0,451,0.14902434946593318
136,n8_L,137.0,86,0.14090937653253244
137,n7_L,138.0,1,0.14188241958618164
138,lfp_L,139.0,14,0.1598479918071202
139,mlf_ts_L,140.0,854,0.16063110625907884
140,sc_L,141.0,387,0.15349786382081898
141,ml_L,142.0,87,0.16495417032776208
142,vsc_L,143.0,688,0.17270552174209855
143,mcp_L,144.0,1033,0.15477199613009396
144,scp_L,145.0,362,0.1673152158191191
145,icp_oc_tz_L,146.0,273,0.15439659104624512
146,cbw_L,147.0,3109,0.16408564329588288
147,LV_L,148.0,3687,0.1274613970771921
148,A25_L,149.0,180,0.15625555660161708
149,das_L,150.0,0,
150,Post_L,151.0,271,0.19057226703395702
151,4V_L,152.0,476,0.14522036679965608
152,MiTg_L,153.0,437,0.17218814500409352
153,PT_L,154.0,45,0.1221354709731208
154,LDVL_L,155.0,57,0.17449737771561272
155,LP_L,156.0,92,0.16818191677979802
156,Athal_L,157.0,382,0.16929214613521912
157,RMC_L,158.0,74,0.1651764924864511
158,PaR_L,159.0,0,
159,RR_L,160.0,228,0.1765329258418397
160,CSF_L,161.0,178,0.1610827088418804
161,IRN_L,162.0,1096,0.18214833601819772
162,PHD_PaMP_Post_and_LatHy_L,163.0,597,0.17231106765605697
163,PR_p3Tg_L_L,164.0,32,0.16535796923562884
164,PVG_L,165.0,53,0.16688648358268557
165,BLA_L,166.0,848,0.18797779483017776
166,A24a_R,1001.0,780,0.17198653554973695
167,A24aPrime_R,1002.0,326,0.21373016439789644
168,A24b_R,1003.0,887,0.20762719453355505
169,A24bPrime_R,1004.0,244,0.2722160516947996
170,A29a_R,1005.0,224,0.21231810326155806
171,A29b_R,1006.0,97,0.24966403557774947
172,A29c_R,1007.0,646,0.2555550120932399
173,A30_R,1008.0,1367,0.2838219248232566
174,A32_R,1009.0,1183,0.18693441565094213
175,Au1_R,1010.0,598,0.22922444574061446
176,AuD_R,1011.0,701,0.2675141773682178
177,AuV_R,1012.0,614,0.20625093887508497
178,DLO_R,1013.0,397,0.17324686748555085
179,Fr3_R,1014.0,350,0.19171372771263123
180,FrA_R,1015.0,3403,0.20280821387807377
181,Ins_R,1016.0,3928,0.17669474897155057
182,LO_R,1017.0,1725,0.17463556879240533
183,LPtA_R,1018.0,64,0.3435606290586293
184,M1_R,1019.0,3149,0.24562905546278946
185,M2_R,1020.0,2907,0.23924933667581413
186,MO_R,1021.0,663,0.1785757581213121
187,MPtA_R,1022.0,192,0.34706576153015095
188,PtPR_R,1023.0,4,0.3141082674264908
189,S1_R,1024.0,269,0.30760559345488214
190,S1BF_R,1025.0,3847,0.2653869337092166
191,S1DZ_R,1026.0,476,0.2848529255001986
192,S1FL_R,1027.0,1357,0.2709278912505158
193,S1HL_R,1028.0,1046,0.30136551502130454
194,S1J_R,1029.0,1372,0.20402012061620942
195,S1Sh_R,1030.0,25,0.32306327104568483
196,S1Tr_R,1031.0,242,0.34509179802719225
197,S1ULp_R,1032.0,1930,0.21358184779902506
198,S2_R,1033.0,2525,0.18783242514227877
199,TeA_R,1034.0,1402,0.20212460680998937
200,V1_R,1035.0,293,0.33219001378622476
201,V1B_R,1036.0,884,0.3008337024413892
202,V1M_R,1037.0,1794,0.2793651848113623
203,V2L_R,1038.0,1060,0.2672838501702502
204,V2ML_R,1039.0,523,0.33084970345118764
205,V2MM_R,1040.0,769,0.309695857534638
206,VO_R,1041.0,825,0.170242467314908
207,CEnt_R,1042.0,2711,0.17778534384747355
208,DIEnt_R,1043.0,700,0.19164275903786931
209,DLEnt_R,1044.0,1468,0.1845968763118138
210,MEnt_R,1045.0,299,0.18785460966087902
211,VIEnt_R,1046.0,604,0.19059322132969533
212,Cl_R,1047.0,80,0.16140107102692128
213,DCl_R,1048.0,1,0.18654872477054596
214,PLCo_R,1049.0,1048,0.18046897886505792
215,VCl_R,1050.0,49,0.17105259092486635
216,Hc_R,1051.0,13698,0.18901363911741118
217,DTT_R,1052.0,147,0.16135475242219002
218,Ect_R,1053.0,1069,0.1954556745803724
219,PaS_R,1054.0,467,0.18413764278242878
220,PRh_R,1055.0,917,0.18497205890853247
221,PrS_R,1056.0,34,0.19178393176373312
222,Pir_R,1057.0,29672,0.1913544459286781
223,APir_R,1058.0,97,0.20766693123222627
224,Hyp_R,1059.0,5669,0.17457449577668605
225,Pre_Tel_R,1060.0,3080,0.18251205347841243
226,Sthal_R,1061.0,273,0.17132177173873006
227,SPT_R,1062.0,3460,0.1738534068979452
228,GP_R,1063.0,873,0.17839393634157083
229,CPu_R,1064.0,10094,0.1709258366927537
230,Amy_R,1065.0,6680,0.18053559394564458
231,Acb_R,1066.0,2074,0.172015675525886
232,BNst_R,1067.0,335,0.17520493073249932
233,Vpal_R,1068.0,1066,0.19356551804137723
234,PAG_R,1069.0,4222,0.17879779733830384
235,APT_R,1154.0,43,0.14693561963043933
