,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,857,0.35854838171250064
1,A24aPrime_L,2.0,318,0.39944229659231956
2,A24b_L,3.0,800,0.41971964621916413
3,A24bPrime_L,4.0,208,0.5027140149703393
4,A29a_L,5.0,205,0.413923378797566
5,A29b_L,6.0,117,0.4756921565430796
6,A29c_L,7.0,551,0.4834046748664548
7,A30_L,8.0,1617,0.5050267226390435
8,A32_L,9.0,1233,0.38861245608194417
9,Au1_L,10.0,708,0.4804161773563105
10,AuD_L,11.0,945,0.4881379497981576
11,AuV_L,12.0,698,0.46380451505197834
12,DLO_L,13.0,316,0.35533244021331206
13,Fr3_L,14.0,385,0.39564902248320644
14,FrA_L,15.0,3235,0.4201566128517966
15,Ins_L,16.0,3701,0.3734394609122881
16,LO_L,17.0,1447,0.36939800526037986
17,LPtA_L,18.0,90,0.5537462058994506
18,M1_L,19.0,3549,0.45053548364571766
19,M2_L,20.0,3122,0.46347434891054906
20,MO_L,21.0,726,0.37678007604990454
21,MPtA_L,22.0,153,0.5817713618668077
22,PtPR_L,23.0,32,0.5174651993438601
23,S1_L,24.0,310,0.5013086567001958
24,S1BF_L,25.0,4865,0.46602282603668527
25,S1DZ_L,26.0,560,0.4946663188082831
26,S1FL_L,27.0,1621,0.4931226370696445
27,S1HL_L,28.0,1277,0.5091401996760511
28,S1J_L,29.0,1423,0.4112891507919456
29,S1Sh_L,30.0,31,0.539898116742411
30,S1Tr_L,31.0,250,0.539480826497078
31,S1ULp_L,32.0,1963,0.42451254754757556
32,S2_L,33.0,2510,0.4036265033234163
33,TeA_L,34.0,1437,0.4560530334711075
34,V1_L,35.0,289,0.5306233518779484
35,V1B_L,36.0,953,0.48620155040890073
36,V1M_L,37.0,1973,0.4735478453085136
37,V2L_L,38.0,1309,0.4748107507153264
38,V2ML_L,39.0,476,0.5664963789847719
39,V2MM_L,40.0,840,0.5391630183018389
40,VO_L,41.0,840,0.35511632384288877
41,CEnt_L,42.0,2383,0.37885648720325965
42,DIEnt_L,43.0,637,0.40270499019551687
43,DLEnt_L,44.0,1258,0.41372776424752133
44,MEnt_L,45.0,277,0.3957288571858664
45,VIEnt_L,46.0,538,0.4017495647571344
46,Cl_L,47.0,4,0.3596685603260994
47,DCl_L,48.0,0,
48,PLCo_L,49.0,949,0.3487174297330628
49,VCl_L,50.0,12,0.38247644901275635
50,Hc_L,51.0,14300,0.3913019413925655
51,DTT_L,52.0,212,0.326397392055336
52,Ect_L,53.0,886,0.4366362506931576
53,PaS_L,54.0,581,0.3652053881635354
54,PRh_L,55.0,741,0.4112366666054597
55,PrS_L,56.0,57,0.3579936032755333
56,Pir_L,57.0,28381,0.40944504630128914
57,APir_L,58.0,118,0.40000707258359863
58,Hyp_L,59.0,5492,0.3626359113466974
59,Preopt_L,60.0,3176,0.36725180901549476
60,Sthal_L,61.0,267,0.3709192675597659
61,SPT_L,62.0,3445,0.3554272892037393
62,GP_L,63.0,1056,0.3782941959798336
63,CPu_L,64.0,10635,0.36112324449171973
64,Amy_L,65.0,6379,0.3748722532269143
65,Acb_L,66.0,1917,0.3495015125832461
66,BNst_L,67.0,343,0.3624045409197015
67,Vpal_L,68.0,939,0.40116486588098244
68,PAG_L,69.0,3721,0.36081031615000136
69,APT_L,70.0,335,0.37189400927789174
70,VTA_L,71.0,100,0.36625011965632437
71,Thal_R_L,72.0,6113,0.335555338615065
72,VT_L,73.0,1479,0.3442733276124094
73,LDNT_L,74.0,143,0.40741242124484134
74,MGN_L,75.0,261,0.3573301886690074
75,LGN_L,76.0,464,0.3906741275548421
76,ZI_L,77.0,1073,0.34123865769827133
77,RTN_L,78.0,1215,0.352112598097864
78,Sub_PP_L,79.0,128,0.37070505414158106
79,DpMe_L,80.0,1431,0.35778855639142143
80,SC_L,81.0,5462,0.3793838163268289
81,IC_L,82.0,2992,0.41215711284707734
82,SN_L,83.0,517,0.35629919733369375
83,RPC_L,84.0,64,0.3639484802260995
84,MRN_L,85.0,2034,0.3650982695226003
85,RI_L,86.0,201,0.3606356323803242
86,Cn_L,87.0,191,0.3651344014712029
87,PrCn_L,88.0,333,0.3585817518534961
88,BS_R_L,89.0,3294,0.34287642737093954
89,Iped_L,90.0,117,0.4012794832133839
90,Cb_1_10_L,91.0,25793,0.38070028318869337
91,Den_L,92.0,222,0.38508539928777796
92,Int_L,93.0,270,0.382896298997932
93,FasDL_L,94.0,2,0.3563825786113739
94,FasMed_L,95.0,587,0.35457178825921865
95,Vll_L,96.0,21,0.3050648140765372
96,ParB_L,97.0,191,0.3808191131546859
97,KF_L,98.0,372,0.36273703567924037
98,PCRt_L,99.0,2888,0.37480625321887373
99,CG_L,100.0,1507,0.3583578480520071
100,Su5_L,101.0,148,0.3685251532776936
101,m5_L,102.0,69,0.35371497035890387
102,5N_L,103.0,216,0.378010380530247
103,PnO_L,104.0,3024,0.36535619917724815
104,Raph_L,105.0,200,0.38046261832118033
105,Pr5_L,106.0,400,0.34937773026525976
106,DTg_L,107.0,1039,0.3604019721100489
107,Tg_L,108.0,0,
108,CoN_L,109.0,305,0.3717902185975528
109,Pn_L,110.0,542,0.3449688662957001
110,RTg_L,111.0,208,0.3679675766481803
111,Oliv_L,112.0,900,0.3790168063011434
