,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,786,0.2124246635898455
1,A24aPrime_L,2.0,305,0.23853342645480985
2,A24b_L,3.0,785,0.24240397389527338
3,A24bPrime_L,4.0,200,0.28007629290223124
4,A29a_L,5.0,161,0.26633704120513074
5,A29b_L,6.0,94,0.3094916877911446
6,A29c_L,7.0,459,0.29229831645236815
7,A30_L,8.0,1432,0.31223345437612615
8,A32_L,9.0,1186,0.22763448667164396
9,Au1_L,10.0,656,0.276503049893441
10,AuD_L,11.0,850,0.2832535656497759
11,AuV_L,12.0,760,0.25880764017959956
12,DLO_L,13.0,414,0.17962521357812744
13,Fr3_L,14.0,473,0.2218567320710761
14,FrA_L,15.0,3983,0.22330993439832914
15,Ins_L,16.0,3808,0.1994308969676064
16,LO_L,17.0,1664,0.20404580465177646
17,LPtA_L,18.0,89,0.37545992819111
18,M1_L,19.0,3679,0.2714787120058764
19,M2_L,20.0,3162,0.2629385565176069
20,MO_L,21.0,793,0.2060204741896176
21,MPtA_L,22.0,167,0.37094511359394666
22,PtPR_L,23.0,31,0.3592829906171368
23,S1_L,24.0,309,0.3180417492744606
24,S1BF_L,25.0,4602,0.2902764005911112
25,S1DZ_L,26.0,543,0.3131202608346939
26,S1FL_L,27.0,1595,0.29936864412503555
27,S1HL_L,28.0,1351,0.3115321394582751
28,S1J_L,29.0,1554,0.23630862248680307
29,S1Sh_L,30.0,31,0.3576766675518405
30,S1Tr_L,31.0,249,0.35669363969301127
31,S1ULp_L,32.0,2170,0.2431042275910828
32,S2_L,33.0,2830,0.22429487736165102
33,TeA_L,34.0,1670,0.2600889683617446
34,V1_L,35.0,282,0.3539921156797849
35,V1B_L,36.0,1067,0.3185126473874049
36,V1M_L,37.0,2086,0.3015129724044213
37,V2L_L,38.0,1417,0.28986511499888473
38,V2ML_L,39.0,507,0.3764722658508628
39,V2MM_L,40.0,818,0.35048633884902686
40,VO_L,41.0,753,0.19519683619736042
41,CEnt_L,42.0,2667,0.20093503595655626
42,DIEnt_L,43.0,592,0.21965579990599607
43,DLEnt_L,44.0,1252,0.21718234286164514
44,MEnt_L,45.0,273,0.2011384828623398
45,VIEnt_L,46.0,511,0.21425089953055354
46,Cl_L,47.0,4,0.2029198594391346
47,DCl_L,48.0,0,
48,PLCo_L,49.0,866,0.1689358536351911
49,VCl_L,50.0,11,0.21259993992068552
50,Hc_L,51.0,13528,0.2300130512401801
51,DTT_L,52.0,266,0.18538674059555046
52,Ect_L,53.0,1010,0.2426375895295993
53,PaS_L,54.0,556,0.21419055525401084
54,PRh_L,55.0,782,0.2204824053132168
55,PrS_L,56.0,60,0.2260762666662534
56,Pir_L,57.0,28324,0.21369101034348195
57,APir_L,58.0,91,0.22351890933382643
58,Hyp_L,59.0,4914,0.2073133834188529
59,Preopt_L,60.0,2932,0.20735349001345132
60,Sthal_L,61.0,231,0.20892433280294592
61,SPT_L,62.0,3518,0.19890688326804898
62,GP_L,63.0,1053,0.21644017646568567
63,CPu_L,64.0,10638,0.20390353505913758
64,Amy_L,65.0,6118,0.2006078035360304
65,Acb_L,66.0,2119,0.19896755561605273
66,BNst_L,67.0,301,0.21619727410549341
67,Vpal_L,68.0,926,0.22459106906025508
68,PAG_L,69.0,3542,0.22272824043148254
69,APT_L,70.0,261,0.21062012453531398
70,VTA_L,71.0,86,0.21008557618357415
71,Thal_R_L,72.0,5685,0.20305648252053438
72,VT_L,73.0,1454,0.21058725689677457
73,LDNT_L,74.0,163,0.21494795756837343
74,MGN_L,75.0,260,0.21292205303907394
75,LGN_L,76.0,468,0.21753329161204335
76,ZI_L,77.0,1050,0.20367792298396428
77,RTN_L,78.0,1232,0.20912505476433155
78,Sub_PP_L,79.0,127,0.22609162623957385
79,DpMe_L,80.0,1401,0.21223133498221786
80,SC_L,81.0,4501,0.23990346912532165
81,IC_L,82.0,2839,0.2349213553437069
82,SN_L,83.0,502,0.19722978702460628
83,RPC_L,84.0,67,0.22031690914239457
84,MRN_L,85.0,2000,0.21357300009950994
85,RI_L,86.0,220,0.20853335694833236
86,Cn_L,87.0,226,0.20885212815045257
87,PrCn_L,88.0,289,0.21118455109505505
88,BS_R_L,89.0,2541,0.18148587899490023
89,Iped_L,90.0,101,0.21708677524682318
90,Cb_1_10_L,91.0,25631,0.18655840023023057
91,Den_L,92.0,197,0.181700621953773
92,Int_L,93.0,235,0.1856297105550766
93,FasDL_L,94.0,1,0.21285980939865112
94,FasMed_L,95.0,508,0.17770714535722582
95,Vll_L,96.0,15,0.1313362956047058
96,ParB_L,97.0,207,0.21663453080803877
97,KF_L,98.0,373,0.19329759180945302
98,PCRt_L,99.0,2311,0.158073790995255
99,CG_L,100.0,1233,0.16802714989253978
100,Su5_L,101.0,140,0.20582039930990764
101,m5_L,102.0,47,0.15526041055613377
102,5N_L,103.0,212,0.17946765206332477
103,PnO_L,104.0,2769,0.1850358828197278
104,Raph_L,105.0,198,0.21299802158216033
105,Pr5_L,106.0,296,0.15951126690551237
106,DTg_L,107.0,1031,0.2033419971626205
107,Tg_L,108.0,0,
108,CoN_L,109.0,240,0.15367232972445588
109,Pn_L,110.0,462,0.1705318233280471
110,RTg_L,111.0,165,0.17512607010024966
111,Oliv_L,112.0,920,0.15139850153304313
112,PnC_L,113.0,1429,0.16831905071534337
113,Sp5_L,114.0,1119,0.13819560307053927
114,Ve_L,115.0,1626,0.1657157006454717
115,Gi_L,116.0,4037,0.14502654258592726
116,Cu_L,117.0,262,0.1554746300493943
117,ac_L,118.0,186,0.1812021217198782
118,ot_L,119.0,911,0.17717464392520202
119,fi_L,120.0,1079,0.19158853035320056
120,cc_L,121.0,7688,0.2144879267922177
121,fx_L,122.0,51,0.18264125389795677
122,st_L,123.0,402,0.1986246558267679
123,cg_L,124.0,402,0.2606418944561659
124,lo_L,125.0,405,0.16241981710916684
125,vhc_L,126.0,8,0.2004931177943945
126,ic_L,127.0,1697,0.20078457870866948
127,fr_L,128.0,0,
128,sm_L,129.0,40,0.1495930246077478
129,mt_L,130.0,0,
130,pc_L,131.0,15,0.21382871369520823
131,bsc_L,132.0,8,0.20825368538498878
132,cp_L,133.0,1161,0.18593026410136934
133,ll_L,134.0,494,0.1852654453804377
134,sp5_L,135.0,881,0.13255236250064023
135,py_L,136.0,441,0.13562427198434093
136,n8_L,137.0,77,0.13020222905007275
137,n7_L,138.0,1,0.14699344336986542
138,lfp_L,139.0,10,0.15698646679520606
139,mlf_ts_L,140.0,913,0.15155908508636343
140,sc_L,141.0,242,0.12727888122447267
141,ml_L,142.0,96,0.19918886106461287
142,vsc_L,143.0,591,0.1811386309879282
143,mcp_L,144.0,834,0.1501699069233464
144,scp_L,145.0,369,0.1938680949492183
145,icp_oc_tz_L,146.0,289,0.14713808064023517
146,cbw_L,147.0,3545,0.1678295988878511
147,LV_L,148.0,3435,0.1783263377465709
148,A25_L,149.0,212,0.1892026779681163
149,das_L,150.0,0,
150,Post_L,151.0,245,0.2554460411777302
151,4V_L,152.0,383,0.16278784272720545
152,MiTg_L,153.0,508,0.21759486274691078
153,PT_L,154.0,39,0.14390877070717323
154,LDVL_L,155.0,78,0.21751911517901298
155,LP_L,156.0,106,0.22336204378110058
156,Athal_L,157.0,391,0.20778698670437268
157,RMC_L,158.0,67,0.21140712166010445
158,PaR_L,159.0,0,
159,RR_L,160.0,257,0.21407496024662417
160,CSF_L,161.0,163,0.2146716501129551
161,IRN_L,162.0,764,0.15163848933846694
162,PHD_PaMP_Post_and_LatHy_L,163.0,560,0.21312037430969732
163,PR_p3Tg_L_L,164.0,34,0.20078200540121863
164,PVG_L,165.0,45,0.20872281591097513
165,BLA_L,166.0,953,0.2143291507897447
166,A24a_R,1001.0,730,0.21212190899436603
167,A24aPrime_R,1002.0,337,0.2270177506374676
168,A24b_R,1003.0,871,0.23621427757937105
169,A24bPrime_R,1004.0,220,0.27659134661609475
170,A29a_R,1005.0,230,0.26690659305971604
171,A29b_R,1006.0,111,0.3169886112750114
172,A29c_R,1007.0,522,0.29249315928682057
173,A30_R,1008.0,1495,0.33544016386005393
174,A32_R,1009.0,1146,0.22627792996963905
175,Au1_R,1010.0,765,0.3153592905382705
176,AuD_R,1011.0,999,0.35013017659490414
177,AuV_R,1012.0,811,0.2809306328562714
178,DLO_R,1013.0,311,0.19563020257896166
179,Fr3_R,1014.0,303,0.23348311460254215
180,FrA_R,1015.0,3321,0.22687525267005235
181,Ins_R,1016.0,3367,0.22169075392126894
182,LO_R,1017.0,1321,0.20714774251514362
183,LPtA_R,1018.0,79,0.358828532922117
184,M1_R,1019.0,3498,0.2642308765007401
185,M2_R,1020.0,3500,0.25614437078152386
186,MO_R,1021.0,686,0.21166497491756264
187,MPtA_R,1022.0,241,0.3439465473672661
188,PtPR_R,1023.0,2,0.3833762854337692
189,S1_R,1024.0,394,0.338700385906067
190,S1BF_R,1025.0,5395,0.3129911541552097
191,S1DZ_R,1026.0,745,0.3148638632673545
192,S1FL_R,1027.0,1836,0.294020628465303
193,S1HL_R,1028.0,1420,0.29528538697517254
194,S1J_R,1029.0,1252,0.24794042235412916
195,S1Sh_R,1030.0,37,0.3158840098091074
196,S1Tr_R,1031.0,329,0.3349766772025262
197,S1ULp_R,1032.0,2255,0.2709018851694405
198,S2_R,1033.0,3159,0.2560698757535976
199,TeA_R,1034.0,1696,0.3002212365500559
200,V1_R,1035.0,369,0.3523057911615708
201,V1B_R,1036.0,1278,0.3578678226806748
202,V1M_R,1037.0,2716,0.3391760291122943
203,V2L_R,1038.0,1472,0.347518056590596
204,V2ML_R,1039.0,654,0.3787716744917613
205,V2MM_R,1040.0,957,0.3612223018268308
206,VO_R,1041.0,719,0.20086984636886396
207,CEnt_R,1042.0,2634,0.249962680705101
208,DIEnt_R,1043.0,576,0.25907305915219087
209,DLEnt_R,1044.0,1250,0.26998346173763277
210,MEnt_R,1045.0,265,0.25561209124214246
211,VIEnt_R,1046.0,598,0.24835555051082753
212,Cl_R,1047.0,58,0.19691157585074162
213,DCl_R,1048.0,1,0.21350646018981934
214,PLCo_R,1049.0,806,0.1818410966212563
215,VCl_R,1050.0,41,0.22223018909372935
216,Hc_R,1051.0,13714,0.24336687711852406
217,DTT_R,1052.0,196,0.182785496913961
218,Ect_R,1053.0,1130,0.2785010226532421
219,PaS_R,1054.0,617,0.2356402943306263
220,PRh_R,1055.0,834,0.2573498091448268
221,PrS_R,1056.0,50,0.23373181477189064
222,Pir_R,1057.0,27664,0.2253362288571433
223,APir_R,1058.0,101,0.24579492167080982
224,Hyp_R,1059.0,5226,0.21211954449591078
225,Pre_Tel_R,1060.0,3054,0.21317647038894927
226,Sthal_R,1061.0,249,0.2207636698541871
227,SPT_R,1062.0,3457,0.20427808850801057
228,GP_R,1063.0,852,0.22300403836257582
229,CPu_R,1064.0,10278,0.21280363190134088
230,Amy_R,1065.0,6162,0.2101333362099626
231,Acb_R,1066.0,2004,0.20472810542333625
232,BNst_R,1067.0,288,0.2178671087862717
233,Vpal_R,1068.0,1028,0.23494534893142574
234,PAG_R,1069.0,4003,0.2291031661177021
235,APT_R,1154.0,31,0.1537732431484807
236,VTA_R,1071.0,99,0.2256673276424408
237,Thal_R_R,1072.0,5566,0.202932015902681
238,VT_R,1073.0,997,0.21384883341692396
239,LDNT_R,1074.0,181,0.2145133220194453
240,MGN_R,1075.0,253,0.2125360791096574
241,LGN_R,1076.0,567,0.21885076506848478
242,ZI_R,1077.0,813,0.20941216004657276
243,RTN_R,1078.0,1003,0.2159863478789182
244,Sub_PP_R,1079.0,137,0.2269473975374751
245,DpMe_R,1080.0,1382,0.2128917345111346
246,SC_R,1081.0,4267,0.2479306412605385
247,IC_R,1082.0,2428,0.2575615525592419
248,SN_R,1083.0,533,0.21552019455866786
249,RPC_R,1084.0,58,0.2225244279051649
250,MRN_R,1085.0,1984,0.21911326120607555
251,RI_R,1086.0,172,0.20603785494905572
252,Cn_R,1087.0,297,0.22670886833659729
253,PrCn_R,1088.0,293,0.2191196055033915
254,BS_R_R,1089.0,2786,0.18961251580423147
255,Iped_R,1090.0,60,0.2251052892456452
256,Cb_1_10_R,1091.0,22520,0.21367720309826901
257,Den_R,1092.0,192,0.2264287657259653
258,Int_R,1093.0,199,0.2151594913035781
259,FasDL_R,1094.0,0,
