,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,791,0.21047094203390454
1,A24aPrime_L,2.0,319,0.2261008082839389
2,A24b_L,3.0,842,0.22601742543404005
3,A24bPrime_L,4.0,186,0.2650899949573701
4,A29a_L,5.0,199,0.2507684896489484
5,A29b_L,6.0,109,0.2907108136820137
6,A29c_L,7.0,510,0.27280112179178817
7,A30_L,8.0,1518,0.30364273009485565
8,A32_L,9.0,1290,0.22395837819853495
9,Au1_L,10.0,644,0.3180596027523279
10,AuD_L,11.0,870,0.32849002414564976
11,AuV_L,12.0,765,0.3096666965414496
12,DLO_L,13.0,356,0.21689365779081088
13,Fr3_L,14.0,416,0.24102047397396886
14,FrA_L,15.0,3559,0.23941495007803665
15,Ins_L,16.0,3970,0.23479662169080687
16,LO_L,17.0,1602,0.2226816194873773
17,LPtA_L,18.0,104,0.35509532403487426
18,M1_L,19.0,3642,0.2596829294982453
19,M2_L,20.0,3342,0.24940093836113408
20,MO_L,21.0,905,0.22019564127395166
21,MPtA_L,22.0,183,0.3446147895413018
22,PtPR_L,23.0,31,0.3448724958204454
23,S1_L,24.0,390,0.33100191201919166
24,S1BF_L,25.0,4951,0.3061214388259563
25,S1DZ_L,26.0,618,0.3000099598204048
26,S1FL_L,27.0,1802,0.29058314577059263
27,S1HL_L,28.0,1383,0.3051211608227663
28,S1J_L,29.0,1588,0.25274428317055897
29,S1Sh_L,30.0,35,0.33805444325719564
30,S1Tr_L,31.0,271,0.3403256898436599
31,S1ULp_L,32.0,2303,0.27144481584306807
32,S2_L,33.0,3108,0.27129089203633205
33,TeA_L,34.0,1583,0.30052757820212156
34,V1_L,35.0,327,0.34771279876749817
35,V1B_L,36.0,1047,0.3332819402104007
36,V1M_L,37.0,2119,0.3133339518492179
37,V2L_L,38.0,1327,0.32499762161297285
38,V2ML_L,39.0,518,0.36049432373645224
39,V2MM_L,40.0,864,0.33552660037659937
40,VO_L,41.0,964,0.226938090136437
41,CEnt_L,42.0,2487,0.23114774297364132
42,DIEnt_L,43.0,629,0.23855847916277112
43,DLEnt_L,44.0,1236,0.24976216765982626
44,MEnt_L,45.0,261,0.2357603603852663
45,VIEnt_L,46.0,501,0.2346781348575375
46,Cl_L,47.0,4,0.252088338136673
47,DCl_L,48.0,0,
48,PLCo_L,49.0,916,0.1871039170047927
49,VCl_L,50.0,11,0.2462646649642424
50,Hc_L,51.0,14093,0.24300064387170398
51,DTT_L,52.0,268,0.2115991749564436
52,Ect_L,53.0,1007,0.28151955824741187
53,PaS_L,54.0,567,0.23122443681881752
54,PRh_L,55.0,711,0.25517313820526066
55,PrS_L,56.0,54,0.22924834848554046
56,Pir_L,57.0,28828,0.23506848326781735
57,APir_L,58.0,110,0.2140846381133253
