,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,809,0.2882720191579667
1,A24aPrime_L,2.0,328,0.28407463862946847
2,A24b_L,3.0,757,0.2923530727979214
3,A24bPrime_L,4.0,169,0.3189790856379729
4,A29a_L,5.0,184,0.3050725310433494
5,A29b_L,6.0,100,0.34405591458082196
6,A29c_L,7.0,425,0.32662807000033994
7,A30_L,8.0,1598,0.3532202969467237
8,A32_L,9.0,1196,0.2893985070437691
9,Au1_L,10.0,683,0.3790052809137551
10,AuD_L,11.0,931,0.37817152422301625
11,AuV_L,12.0,739,0.3498196462333122
12,DLO_L,13.0,361,0.27354920201436966
13,Fr3_L,14.0,463,0.30342368411451387
14,FrA_L,15.0,3705,0.30347214261228256
15,Ins_L,16.0,4090,0.28319957083897224
16,LO_L,17.0,1461,0.2847798352246412
17,LPtA_L,18.0,77,0.40764244152353957
18,M1_L,19.0,3505,0.322685901676112
19,M2_L,20.0,2928,0.3078058874558993
20,MO_L,21.0,891,0.2871621627230971
21,MPtA_L,22.0,139,0.41959355803702375
22,PtPR_L,23.0,29,0.392138226278897
23,S1_L,24.0,345,0.3894328476726145
24,S1BF_L,25.0,5058,0.3636041468236936
25,S1DZ_L,26.0,578,0.3674589864213574
26,S1FL_L,27.0,1649,0.34893810744987536
27,S1HL_L,28.0,1348,0.36570125390452163
28,S1J_L,29.0,1536,0.3179506013984792
29,S1Sh_L,30.0,33,0.396750858335784
30,S1Tr_L,31.0,236,0.3995837269319316
31,S1ULp_L,32.0,2364,0.34127571732877376
32,S2_L,33.0,3118,0.320422119458013
33,TeA_L,34.0,1682,0.34645134428079716
34,V1_L,35.0,283,0.40262092939535216
35,V1B_L,36.0,1055,0.3925726083641369
36,V1M_L,37.0,2374,0.3667374737497981
37,V2L_L,38.0,1518,0.37051862064007873
38,V2ML_L,39.0,545,0.4288950840540982
39,V2MM_L,40.0,927,0.4108391531141316
40,VO_L,41.0,795,0.2817840841018929
41,CEnt_L,42.0,2765,0.2841272768044127
42,DIEnt_L,43.0,666,0.2817078979389446
43,DLEnt_L,44.0,1334,0.28822572541603264
44,MEnt_L,45.0,281,0.2893583866837186
45,VIEnt_L,46.0,546,0.2809982661144201
46,Cl_L,47.0,2,0.29782453179359436
47,DCl_L,48.0,0,
48,PLCo_L,49.0,871,0.21022246391795807
49,VCl_L,50.0,14,0.2900024226733616
50,Hc_L,51.0,14206,0.3125162680110079
51,DTT_L,52.0,288,0.27587577075852704
52,Ect_L,53.0,1072,0.3247324465287488
53,PaS_L,54.0,623,0.3014231998455467
54,PRh_L,55.0,768,0.30371489642129745
55,PrS_L,56.0,59,0.30541958622003007
56,Pir_L,57.0,29587,0.28741969135273393
57,APir_L,58.0,107,0.24950624696005172
58,Hyp_L,59.0,5185,0.28689626971530935
59,Preopt_L,60.0,3181,0.2809354405556224
60,Sthal_L,61.0,260,0.31136683747172356
61,SPT_L,62.0,3759,0.28439824853462087
62,GP_L,63.0,965,0.3058142558898333
63,CPu_L,64.0,11401,0.29048793685220853
64,Amy_L,65.0,6478,0.2719185989236217
65,Acb_L,66.0,2120,0.2846095417186899
66,BNst_L,67.0,293,0.3153802322751426
67,Vpal_L,68.0,969,0.31887057835718674
68,PAG_L,69.0,3749,0.2979202615333163
69,APT_L,70.0,302,0.29469417314359686
70,VTA_L,71.0,95,0.3020954033261851
71,Thal_R_L,72.0,5886,0.2882966498344013
72,VT_L,73.0,1688,0.29104738253040763
73,LDNT_L,74.0,150,0.29024134506781896
74,MGN_L,75.0,284,0.29662040138328577
75,LGN_L,76.0,469,0.2988023845625839
76,ZI_L,77.0,1025,0.288997403019812
77,RTN_L,78.0,1306,0.2943633532702101
78,Sub_PP_L,79.0,130,0.3101316830286613
79,DpMe_L,80.0,1414,0.29535849640064227
80,SC_L,81.0,5114,0.29563549219888896
81,IC_L,82.0,3246,0.3040573295407819
82,SN_L,83.0,492,0.2922438678702688
83,RPC_L,84.0,65,0.2960153217499073
84,MRN_L,85.0,1984,0.30120144725491804
85,RI_L,86.0,220,0.30520968816497107
86,Cn_L,87.0,198,0.30035539385345245
87,PrCn_L,88.0,271,0.290256908843878
88,BS_R_L,89.0,2976,0.22309709660350896
89,Iped_L,90.0,100,0.33878418028354645
90,Cb_1_10_L,91.0,25689,0.24268978996496512
91,Den_L,92.0,203,0.26596148635072664
92,Int_L,93.0,250,0.2621287523508072
93,FasDL_L,94.0,2,0.2275635004043579
94,FasMed_L,95.0,528,0.249639803233246
95,Vll_L,96.0,17,0.20819401521893108
96,ParB_L,97.0,195,0.31272824590022746
97,KF_L,98.0,411,0.2870677859316197
98,PCRt_L,99.0,2497,0.21463261375820633
99,CG_L,100.0,1212,0.24107920388897064
100,Su5_L,101.0,140,0.3000281370111874
101,m5_L,102.0,51,0.24437790816905453
102,5N_L,103.0,205,0.2886244183633386
103,PnO_L,104.0,2796,0.2791555274906801
104,Raph_L,105.0,233,0.32242414003533865
105,Pr5_L,106.0,334,0.24657359487282302
106,DTg_L,107.0,1081,0.2989965392333506
107,Tg_L,108.0,0,
108,CoN_L,109.0,260,0.21632094277212252
109,Pn_L,110.0,497,0.24619433343020722
110,RTg_L,111.0,188,0.26420873958379665
111,Oliv_L,112.0,914,0.17705264388781278
112,PnC_L,113.0,1378,0.23553358009206712
113,Sp5_L,114.0,1380,0.15062257069284501
114,Ve_L,115.0,1677,0.2364047617475476
115,Gi_L,116.0,4145,0.1631225653963368
116,Cu_L,117.0,270,0.18508333050542408
117,ac_L,118.0,210,0.2618396011846406
118,ot_L,119.0,1035,0.23112786459750023
119,fi_L,120.0,1126,0.274794719808902
120,cc_L,121.0,8085,0.2781587675434981
121,fx_L,122.0,54,0.2684863756100337
122,st_L,123.0,444,0.279014002162594
123,cg_L,124.0,430,0.31081647917974825
124,lo_L,125.0,426,0.24263494732864027
125,vhc_L,126.0,8,0.29754521511495113
126,ic_L,127.0,1739,0.28574047771043104
127,fr_L,128.0,0,
128,sm_L,129.0,37,0.22391121290825508
129,mt_L,130.0,0,
130,pc_L,131.0,10,0.2790359750390053
131,bsc_L,132.0,8,0.26600157096982
132,cp_L,133.0,1098,0.27591317271192867
133,ll_L,134.0,528,0.27851764918446087
134,sp5_L,135.0,1051,0.16855781219835853
135,py_L,136.0,411,0.14936662497057823
136,n8_L,137.0,69,0.20675584803456845
137,n7_L,138.0,1,0.16804808378219604
138,lfp_L,139.0,11,0.24078876728361304
139,mlf_ts_L,140.0,757,0.17624756118068607
140,sc_L,141.0,369,0.11443529767678359
141,ml_L,142.0,94,0.28985272680825375
142,vsc_L,143.0,669,0.2737325125211023
143,mcp_L,144.0,918,0.237224624007291
144,scp_L,145.0,372,0.2796891054078456
145,icp_oc_tz_L,146.0,282,0.1940401959239591
146,cbw_L,147.0,3644,0.22908079687968044
147,LV_L,148.0,3229,0.2539886110945359
148,A25_L,149.0,213,0.2897363347241856
149,das_L,150.0,0,
150,Post_L,151.0,296,0.3191243807810384
151,4V_L,152.0,413,0.2210827688472323
152,MiTg_L,153.0,452,0.2948863702471805
153,PT_L,154.0,37,0.2506397386660447
154,LDVL_L,155.0,63,0.31019047139182926
155,LP_L,156.0,92,0.29995563010806625
156,Athal_L,157.0,356,0.2963447914029775
157,RMC_L,158.0,64,0.2945846535731107
158,PaR_L,159.0,0,
159,RR_L,160.0,245,0.29872121470315116
160,CSF_L,161.0,168,0.2655760431107843
161,IRN_L,162.0,792,0.18902333221878065
162,PHD_PaMP_Post_and_LatHy_L,163.0,611,0.3019728761794329
163,PR_p3Tg_L_L,164.0,37,0.2899412790665755
164,PVG_L,165.0,51,0.30891703945748944
165,BLA_L,166.0,941,0.2982135864170654
166,A24a_R,1001.0,926,0.2883797436067533
167,A24aPrime_R,1002.0,383,0.2732909908007548
168,A24b_R,1003.0,1025,0.2896232904457464
169,A24bPrime_R,1004.0,218,0.3160640683640307
170,A29a_R,1005.0,225,0.2982438740465376
171,A29b_R,1006.0,106,0.3534922661646357
172,A29c_R,1007.0,550,0.3217470672455701
173,A30_R,1008.0,1537,0.3626263057358597
174,A32_R,1009.0,1361,0.29193335421202726
175,Au1_R,1010.0,708,0.36778002672192067
176,AuD_R,1011.0,866,0.37404383123609264
177,AuV_R,1012.0,686,0.3571281708972447
178,DLO_R,1013.0,365,0.28273408229220404
