,Structure Abbreviation,Index,Voxel Number,Mean intensity
0,A24a_L,1.0,755,0.22391610576320958
1,A24aPrime_L,2.0,301,0.26201593554099134
2,A24b_L,3.0,756,0.24914302422650278
3,A24bPrime_L,4.0,168,0.3074983406279768
4,A29a_L,5.0,199,0.28655419524890097
5,A29b_L,6.0,103,0.3219203882425734
6,A29c_L,7.0,453,0.3138239546524768
7,A30_L,8.0,1489,0.3365817249766967
8,A32_L,9.0,1236,0.23299192834922797
9,Au1_L,10.0,599,0.33045594055883476
10,AuD_L,11.0,828,0.34230715233454667
11,AuV_L,12.0,558,0.3026077677111899
12,DLO_L,13.0,452,0.18607566250174973
13,Fr3_L,14.0,417,0.22232288140044223
14,FrA_L,15.0,4586,0.21424784809732758
15,Ins_L,16.0,3398,0.22297426618376923
16,LO_L,17.0,1582,0.21350258959907045
17,LPtA_L,18.0,77,0.3915547364717954
18,M1_L,19.0,3405,0.26963672234120173
19,M2_L,20.0,3234,0.263257838186653
20,MO_L,21.0,821,0.22727249352200168
21,MPtA_L,22.0,155,0.38890114426612854
22,PtPR_L,23.0,29,0.3702377594750503
23,S1_L,24.0,290,0.35776309751231095
24,S1BF_L,25.0,4459,0.3278245552622382
25,S1DZ_L,26.0,515,0.31563696852586803
26,S1FL_L,27.0,1466,0.30443651336886873
27,S1HL_L,28.0,1108,0.3261759971211318
28,S1J_L,29.0,1486,0.24182455511425258
29,S1Sh_L,30.0,28,0.34555256153856007
30,S1Tr_L,31.0,223,0.3729601869935947
31,S1ULp_L,32.0,2055,0.2787584786613782
32,S2_L,33.0,2700,0.2608550533376358
33,TeA_L,34.0,1218,0.30178034654245
34,V1_L,35.0,250,0.3841783159971237
35,V1B_L,36.0,854,0.3558775438846414
36,V1M_L,37.0,1685,0.345405979520843
37,V2L_L,38.0,1140,0.3286372747599033
38,V2ML_L,39.0,445,0.4217366855465964
39,V2MM_L,40.0,791,0.3739674551749199
40,VO_L,41.0,770,0.2221081330404653
41,CEnt_L,42.0,2283,0.23013807614539936
42,DIEnt_L,43.0,477,0.24472934560580822
43,DLEnt_L,44.0,907,0.2532432099851516
44,MEnt_L,45.0,228,0.2404652016335412
45,VIEnt_L,46.0,459,0.2369091024455941
46,Cl_L,47.0,6,0.21760152777036032
47,DCl_L,48.0,0,
48,PLCo_L,49.0,660,0.21664324535452056
49,VCl_L,50.0,6,0.23272334039211273
50,Hc_L,51.0,12780,0.26160508378588115
51,DTT_L,52.0,258,0.20678721534362596
52,Ect_L,53.0,765,0.27369568412210427
53,PaS_L,54.0,532,0.2434708134348231
54,PRh_L,55.0,543,0.2584154137631477
55,PrS_L,56.0,57,0.24807844925345035
56,Pir_L,57.0,23204,0.22290615894804586
57,APir_L,58.0,79,0.2646920269803156
58,Hyp_L,59.0,5038,0.2390089695855425
59,Preopt_L,60.0,2651,0.23743213244802724
60,Sthal_L,61.0,271,0.25268337306501243
61,SPT_L,62.0,3292,0.2245744583847619
62,GP_L,63.0,1020,0.2552036973483422
63,CPu_L,64.0,11051,0.23200739922364172
64,Amy_L,65.0,5286,0.23548060072944657
65,Acb_L,66.0,1818,0.21548281743614325
66,BNst_L,67.0,285,0.2517206911977969
67,Vpal_L,68.0,854,0.25624407437004026
68,PAG_L,69.0,3713,0.2563927161454384
69,APT_L,70.0,306,0.2630876717614193
70,VTA_L,71.0,112,0.24273615809423582
71,Thal_R_L,72.0,6111,0.2310439177165931
72,VT_L,73.0,1559,0.23652003718882972
73,LDNT_L,74.0,122,0.24678798960369142
74,MGN_L,75.0,280,0.23397309966385366
75,LGN_L,76.0,418,0.24695745734364222
76,ZI_L,77.0,1060,0.239933062415078
77,RTN_L,78.0,1268,0.23915444896189197
78,Sub_PP_L,79.0,139,0.25380728023944144
79,DpMe_L,80.0,1425,0.24217812194113145
80,SC_L,81.0,5111,0.25921362989610003
81,IC_L,82.0,3076,0.2890872069058022
82,SN_L,83.0,558,0.23783285477896318
83,RPC_L,84.0,60,0.257678801069657
84,MRN_L,85.0,1861,0.24607353071366375
85,RI_L,86.0,229,0.2583136546169306
86,Cn_L,87.0,179,0.24682899860030447
87,PrCn_L,88.0,280,0.2472525223025254
88,BS_R_L,89.0,3040,0.21009094985324497
89,Iped_L,90.0,124,0.23914235127308675
90,Cb_1_10_L,91.0,22049,0.2456943994237023
91,Den_L,92.0,238,0.241657281748387
92,Int_L,93.0,243,0.23902598471062664
93,FasDL_L,94.0,2,0.21370890736579895
94,FasMed_L,95.0,521,0.22428867741418204
95,Vll_L,96.0,19,0.20494842646937622
96,ParB_L,97.0,205,0.26646368118321023
97,KF_L,98.0,404,0.24212034367541274
98,PCRt_L,99.0,2383,0.20922615270916273
99,CG_L,100.0,1270,0.221138416078147
100,Su5_L,101.0,132,0.24622954495928503
101,m5_L,102.0,47,0.20763802401562956
102,5N_L,103.0,207,0.25148616414427183
103,PnO_L,104.0,2843,0.23691289332333978
104,Raph_L,105.0,208,0.25206686520519167
105,Pr5_L,106.0,344,0.20669069626303607
106,DTg_L,107.0,1057,0.24908669469146766
107,Tg_L,108.0,2,0.2711486518383026
108,CoN_L,109.0,341,0.18759489198190726
109,Pn_L,110.0,769,0.32030484652914526
110,RTg_L,111.0,236,0.22256475087192099
111,Oliv_L,112.0,877,0.18790337820128541
112,PnC_L,113.0,1313,0.22284823536350812
113,Sp5_L,114.0,1639,0.1788270473162018
114,Ve_L,115.0,1614,0.21715386259419175
115,Gi_L,116.0,4288,0.1848693832515308
116,Cu_L,117.0,314,0.20787087690298725
117,ac_L,118.0,187,0.19643313875969717
118,ot_L,119.0,895,0.20509496709571204
119,fi_L,120.0,985,0.22298526843338448
120,cc_L,121.0,7562,0.23436049224438846
121,fx_L,122.0,44,0.21508030119267377
122,st_L,123.0,463,0.2272120689084154
123,cg_L,124.0,395,0.27767379853544355
124,lo_L,125.0,441,0.1648280275499875
125,vhc_L,126.0,11,0.2377488369291479
126,ic_L,127.0,1733,0.23814800318031729
127,fr_L,128.0,0,
128,sm_L,129.0,30,0.19009908785422644
129,mt_L,130.0,0,
130,pc_L,131.0,18,0.23715672228071424
131,bsc_L,132.0,4,0.2668613940477371
132,cp_L,133.0,1263,0.21966713934735654
133,ll_L,134.0,461,0.22651953003702607
134,sp5_L,135.0,1113,0.16467499229236968
135,py_L,136.0,458,0.15265996930673392
136,n8_L,137.0,73,0.18260685283027284
137,n7_L,138.0,1,0.25088176131248474
138,lfp_L,139.0,14,0.20703545532056264
139,mlf_ts_L,140.0,811,0.18783182014151947
140,sc_L,141.0,250,0.14646457469463348
141,ml_L,142.0,105,0.23193661329292115
142,vsc_L,143.0,727,0.22612713201501838
143,mcp_L,144.0,1021,0.20619739510527613
144,scp_L,145.0,353,0.23438470694566246
145,icp_oc_tz_L,146.0,316,0.18905615430513892
146,cbw_L,147.0,3158,0.21318823639409612
147,LV_L,148.0,3400,0.2026103617689189
148,A25_L,149.0,194,0.20682931597315773
149,das_L,150.0,0,
150,Post_L,151.0,285,0.2729102563439754
151,4V_L,152.0,413,0.20224858322530334
152,MiTg_L,153.0,439,0.24812170815630763
153,PT_L,154.0,67,0.17630035613677394
154,LDVL_L,155.0,54,0.26067295808483054
155,LP_L,156.0,84,0.2610093747221288
156,Athal_L,157.0,356,0.23631657471650103
157,RMC_L,158.0,62,0.2553520688126164
158,PaR_L,159.0,0,
159,RR_L,160.0,259,0.24970954553040758
160,CSF_L,161.0,222,0.21833925226887874
161,IRN_L,162.0,783,0.20400153770376744
162,PHD_PaMP_Post_and_LatHy_L,163.0,663,0.25073323429170236
163,PR_p3Tg_L_L,164.0,38,0.231661525603972
164,PVG_L,165.0,45,0.24908174739943612
165,BLA_L,166.0,755,0.2424818975049139
166,A24a_R,1001.0,767,0.22201700712101244
167,A24aPrime_R,1002.0,346,0.24360486281486604
168,A24b_R,1003.0,888,0.2483558100270661
169,A24bPrime_R,1004.0,192,0.2998451027863969
170,A29a_R,1005.0,245,0.28710555124039555
171,A29b_R,1006.0,96,0.32748708222061396
172,A29c_R,1007.0,539,0.30762316540906515
173,A30_R,1008.0,1353,0.333063120749302
174,A32_R,1009.0,1263,0.23491074508225643
175,Au1_R,1010.0,532,0.3454234741516131
176,AuD_R,1011.0,681,0.36790266247922976
177,AuV_R,1012.0,583,0.32277615284020045
178,DLO_R,1013.0,381,0.23605670582434637
179,Fr3_R,1014.0,350,0.2709983774168151
180,FrA_R,1015.0,4635,0.25991420711048085
181,Ins_R,1016.0,3502,0.2541457535555402
182,LO_R,1017.0,1773,0.2379134971326983
183,LPtA_R,1018.0,59,0.38951870849577047
184,M1_R,1019.0,3486,0.3064598264904694
185,M2_R,1020.0,3459,0.27639085680771924
186,MO_R,1021.0,736,0.2303811588689037
187,MPtA_R,1022.0,202,0.39523605485953905
188,PtPR_R,1023.0,6,0.3865502327680588
189,S1_R,1024.0,304,0.3783019233102861
190,S1BF_R,1025.0,3847,0.3583744958581508
191,S1DZ_R,1026.0,532,0.3630722128415018
192,S1FL_R,1027.0,1474,0.35517650004602674
193,S1HL_R,1028.0,1083,0.3638279521124075
194,S1J_R,1029.0,1381,0.2899710849887819
195,S1Sh_R,1030.0,25,0.3862331807613373
196,S1Tr_R,1031.0,244,0.3876207925257136
197,S1ULp_R,1032.0,2030,0.31775365178220966
198,S2_R,1033.0,2752,0.2929005173960874
199,TeA_R,1034.0,1265,0.3154016914221609
200,V1_R,1035.0,286,0.3903588227458767
201,V1B_R,1036.0,827,0.3721330804793117
202,V1M_R,1037.0,1623,0.3541474174260542
203,V2L_R,1038.0,1021,0.35215472293530575
204,V2ML_R,1039.0,521,0.41130055209725463
205,V2MM_R,1040.0,711,0.3795712561714666
206,VO_R,1041.0,796,0.22706992116443175
207,CEnt_R,1042.0,2337,0.24428467826489766
208,DIEnt_R,1043.0,425,0.2555747927637661
209,DLEnt_R,1044.0,957,0.27176216197985464
210,MEnt_R,1045.0,213,0.24899039497957542
211,VIEnt_R,1046.0,433,0.2512908263033036
212,Cl_R,1047.0,67,0.22767249617113997
213,DCl_R,1048.0,0,
214,PLCo_R,1049.0,588,0.2039335716870569
215,VCl_R,1050.0,35,0.2347776451281139
216,Hc_R,1051.0,12905,0.2653605297207832
217,DTT_R,1052.0,190,0.2071353327286871
218,Ect_R,1053.0,939,0.2894052162179297
219,PaS_R,1054.0,564,0.24554788633679034
220,PRh_R,1055.0,725,0.2782032299658348
221,PrS_R,1056.0,45,0.26118983063432905
222,Pir_R,1057.0,23392,0.2404394019116417
223,APir_R,1058.0,85,0.2496550721280715
224,Hyp_R,1059.0,5302,0.2337036049200741
225,Pre_Tel_R,1060.0,2614,0.23563116096535894
226,Sthal_R,1061.0,290,0.25054450461576727
227,SPT_R,1062.0,3280,0.2245925985867294
228,GP_R,1063.0,933,0.24897985909401668
229,CPu_R,1064.0,10120,0.23623443760949633
230,Amy_R,1065.0,4979,0.22820928228259996
231,Acb_R,1066.0,1883,0.22122679538411533
232,BNst_R,1067.0,272,0.24688463811488712
233,Vpal_R,1068.0,960,0.26013526498960954
234,PAG_R,1069.0,4055,0.2574894285378415
235,APT_R,1154.0,52,0.18840523135776704
236,VTA_R,1071.0,119,0.23746682966456695
237,Thal_R_R,1072.0,5963,0.22898591474340843
238,VT_R,1073.0,949,0.23547677166595096
239,LDNT_R,1074.0,152,0.2503732139930913
240,MGN_R,1075.0,265,0.24301128657358997
241,LGN_R,1076.0,428,0.2436228851987937
242,ZI_R,1077.0,884,0.2330076045681179
243,RTN_R,1078.0,927,0.2376374670474146
244,Sub_PP_R,1079.0,145,0.24999145086983154
245,DpMe_R,1080.0,1474,0.24573654526771327
246,SC_R,1081.0,4435,0.2682527084583931
247,IC_R,1082.0,2514,0.30952755075360017
248,SN_R,1083.0,586,0.23485418851566803
249,RPC_R,1084.0,68,0.2444241226595991
250,MRN_R,1085.0,2061,0.2515740740767733
251,RI_R,1086.0,139,0.25864111916195576
252,Cn_R,1087.0,248,0.2623847740431947
253,PrCn_R,1088.0,307,0.25287896923793646
254,BS_R_R,1089.0,3106,0.2157838976278143
255,Iped_R,1090.0,100,0.24267196018248796
256,Cb_1_10_R,1091.0,21320,0.26169493123155096
257,Den_R,1092.0,188,0.25436157075331567
258,Int_R,1093.0,236,0.25250038049988827
259,FasDL_R,1094.0,2,0.24064281582832336
260,FasMed_R,1095.0,525,0.23764068487144652
261,Vll_R,1096.0,22,0.22895816239443692
262,ParB_R,1097.0,235,0.26613370719108176
263,KF_R,1098.0,447,0.24675717369822048
264,PCRt_R,1099.0,2555,0.22078911086759456
265,CG_R,1100.0,1330,0.21959005365694376
266,Su5_R,1101.0,172,0.25499057570515676
267,m5_R,1102.0,43,0.23202601698941963
268,5N_R,1103.0,119,0.251502360992071
269,PnC_R,1104.0,2801,0.2384569121578556
270,Raph_R,1105.0,158,0.26113190190701546
271,Pr5_R,1106.0,437,0.2299272309247089
272,DTg_R,1107.0,1032,0.24617201582954604
273,Tg_R,1108.0,2,0.29472336173057556
274,CoN_R,1109.0,245,0.19109087711086079
275,Pn_R,1110.0,746,0.318581096203773
276,RTg_R,1111.0,242,0.21235448768562523
277,Oliv_R,1112.0,801,0.19057162370202543
278,PnRt_R,1113.0,1328,0.2271085492873856
279,Sp5_R,1114.0,1612,0.1771415567242774
280,Ve_R,1115.0,1963,0.22305447033972262
281,Gi_R,1116.0,3909,0.18670226638027854
282,Cu_R,1117.0,344,0.20238466913876837
283,ac_R,1118.0,185,0.20030139781333306
284,ot_R,1119.0,848,0.2033218671392017
285,fi_R,1120.0,907,0.22472806619901248
286,cc_R,1121.0,7635,0.2461340142993382
287,fx_R,1122.0,30,0.207442810634772
288,st_R,1123.0,416,0.23385087196500257
289,cg_R,1124.0,399,0.27895186580064
290,lo_R,1125.0,396,0.2117019636989242
291,vhc_R,1126.0,16,0.2476620450615883
292,ic_R,1127.0,1529,0.2326130508362974
293,fr_R,1128.0,0,
294,sm_R,1129.0,38,0.19769241229483955
295,mt_R,1130.0,0,
296,pc_R,1131.0,13,0.2303447608764355
297,bsc_R,1132.0,4,0.23207105696201324
298,cp_R,1133.0,1239,0.2230205741666612
299,ll_R,1134.0,470,0.23752527797317252
300,sp5_R,1135.0,935,0.18952560534770477
301,py_R,1136.0,530,0.13550609556852647
302,n8_R,1137.0,107,0.18334666061624189
303,n7_R,1138.0,0,
304,lfp_R,1139.0,15,0.1947111338376999
305,mlf_ts_R,1140.0,624,0.18460656236857176
306,sc_R,1141.0,246,0.14151953490890137
307,ml_R,1142.0,91,0.24017293374617021
308,vsc_R,1143.0,728,0.2360286822051301
309,mcp_R,1144.0,1001,0.22632376035372098
310,scp_R,1145.0,397,0.23675121618458245
311,icp_oc_tz_R,1146.0,285,0.18703108774988275
312,cbw_R,1147.0,3043,0.2227264578468581
313,LV_R,1148.0,3854,0.20155954050488836
314,A25_R,1149.0,176,0.21408885217864404
315,das_R,1150.0,0,
316,Post_R,1151.0,230,0.2783195458676504
317,4V_R,1152.0,399,0.20044930471588196
318,MiTg_R,1153.0,456,0.2545131633809784
319,APT_R,1154.0,52,0.18840523135776704
320,LDVL_R,1155.0,86,0.2548457067026648
321,LP_R,1156.0,119,0.2526047346221299
322,AThal_R,1157.0,388,0.23468056870336385
323,RMC_R,1158.0,65,0.24272407728892106
324,PaR_R,1159.0,0,
325,RR_R,1160.0,263,0.24929706984599734
326,CSF_R,1161.0,169,0.1975946971849048
327,IRN_R,1162.0,918,0.20896439719336485
328,PHD_PaMP_Post_and_LatHy_R,1163.0,821,0.24573771755384616
329,PR_p3Tg_L_R,1164.0,40,0.22490078136324881
330,PVG_R,1165.0,28,0.23979433572718076
331,BLA_R,,0,
